"","depart"
"buses",0.17
"departs",0.13
"arrive",0.12
"cost",0.12
"return",0.12
"trains",0.12
"costs",0.11
"minibuses",0.11
"terminal",0.11
"ticket",0.11
"bus",0.1
"morning",0.1
"station",0.1
"tickets",0.1
"change",0.09
"departing",0.09
"departure",0.09
"every",0.09
"journey",0.09
"passengers",0.09
"takes",0.09
"taxis",0.09
"times",0.09
"arriving",0.08
"bangkok",0.08
"daily",0.08
"depending",0.08
"hour",0.08
"leave",0.08
"leaves",0.08
"may",0.08
"minibus",0.08
"pay",0.08
"taxi",0.08
"trip",0.08
"walk",0.08
"arrives",0.07
"cheaper",0.07
"fare",0.07
"malaysian",0.07
"next",0.07
"per",0.07
"price",0.07
"quite",0.07
"staff",0.07
"stop",0.07
"train",0.07
"two",0.07
