"","october"
"april",0.21
"november",0.15
"september",0.14
"march",0.13
"june",0.12
"open",0.11
"admission",0.09
"december",0.09
"held",0.09
"late",0.09
"may",0.09
"year",0.09
"august",0.08
"festival",0.08
"july",0.08
"season",0.08
"first",0.07
"sunday",0.07
