"","nightlife"
"bars",0.19
"clubs",0.14
"nightclubs",0.13
"beaches",0.1
"night",0.1
"party",0.1
"trendy",0.1
"'re",0.09
"cheap",0.09
"crowded",0.09
"especially",0.09
"expensive",0.09
"lively",0.09
"music",0.09
"popular",0.09
"prices",0.09
"shopping",0.09
"venues",0.09
"bar",0.08
"card",0.08
"cheaper",0.08
"dance",0.08
"djs",0.08
"drivers",0.08
"expect",0.08
"food",0.08
"generally",0.08
"good",0.08
"like",0.08
"live",0.08
"looking",0.08
"much",0.08
"often",0.08
"shows",0.08
"streets",0.08
"traffic",0.08
"try",0.08
"university",0.08
"urban",0.08
"vibrant",0.08
"avoid",0.07
"aware",0.07
"beer",0.07
"busiest",0.07
"crowd",0.07
"dancing",0.07
"even",0.07
"feel",0.07
"find",0.07
"found",0.07
"less",0.07
"locals",0.07
"lot",0.07
"nice",0.07
"offer",0.07
"quite",0.07
"tend",0.07
"tends",0.07
"terminal",0.07
"want",0.07
