"","war"
"civil",0.31
"world",0.27
"ii",0.25
"soldiers",0.21
"troops",0.19
"cemetery",0.18
"allied",0.17
"battle",0.17
"memorial",0.17
"military",0.17
"fought",0.16
"battles",0.14
"died",0.14
"forces",0.14
"german",0.14
"germans",0.14
"became",0.13
"american",0.12
"army",0.12
"destroyed",0.12
"graves",0.12
"polish",0.12
"former",0.11
"museum",0.11
"occupied",0.11
"political",0.11
"second",0.11
"annexed",0.1
"attack",0.1
"british",0.1
"conflict",0.1
"control",0.1
"first",0.1
"history",0.1
"killed",0.1
"monument",0.1
"names",0.1
"soviet",0.1
"citizens",0.09
"countries",0.09
"government",0.09
"russian",0.09
"site",0.09
"today",0.09
"took",0.09
"americans",0.08
"began",0.08
"damaged",0.08
"fighting",0.08
"forced",0.08
"germany",0.08
"historic",0.08
"japanese",0.08
"later",0.08
"led",0.08
"now",0.08
"part",0.08
"period",0.08
"rebuilt",0.08
"remains",0.08
"returned",0.08
"situation",0.08
"still",0.08
"territory",0.08
"treaty",0.08
"union",0.08
"united",0.08
"wwii",0.08
"built",0.07
"captured",0.07
"century",0.07
"christmas",0.07
"ended",0.07
"european",0.07
"invasion",0.07
"naval",0.07
"officers",0.07
"original",0.07
"president",0.07
"saw",0.07
"since",0.07
"used",0.07
