"","korea"
"korean",0.58
"foreigners",0.12
"friendship",0.12
"china",0.1
"dynasty",0.1
"chinese",0.09
"citizens",0.09
"currency",0.08
"foreign",0.08
"japan",0.08
"owing",0.08
"subway",0.08
"japanese",0.07
"mysterious",0.07
"won",0.07
