"","go"
"get",0.26
"can",0.22
"want",0.21
"take",0.2
"will",0.2
"see",0.19
"ask",0.18
"find",0.18
"buy",0.17
"eat",0.16
"going",0.16
"nice",0.16
"good",0.15
"right",0.15
"'s",0.14
"next",0.14
"place",0.14
"really",0.14
"try",0.14
"always",0.13
"around",0.13
"cost",0.13
"drink",0.13
"driver",0.13
"lot",0.13
"make",0.13
"need",0.13
"pay",0.13
"people",0.13
"stay",0.13
"sure",0.13
"taxi",0.13
"walk",0.13
"'re",0.12
"another",0.12
"best",0.12
"bit",0.12
"bus",0.12
"come",0.12
"expensive",0.12
"food",0.12
"getting",0.12
"left",0.12
"might",0.12
"places",0.12
"price",0.12
"prices",0.12
"quite",0.12
"usually",0.12
"way",0.12
"'ll",0.11
"back",0.11
"better",0.11
"buses",0.11
"cheap",0.11
"cheaper",0.11
"either",0.11
"even",0.11
"goes",0.11
"like",0.11
"look",0.11
"night",0.11
"rent",0.11
"ride",0.11
"sleep",0.11
"turn",0.11
"use",0.11
"also",0.1
"avoid",0.1
"big",0.1
"check",0.1
"costs",0.1
"different",0.1
"enjoy",0.1
"just",0.1
"know",0.1
"little",0.1
"locals",0.1
"many",0.1
"may",0.1
"money",0.1
"much",0.1
"option",0.1
"sell",0.1
"sometimes",0.1
"start",0.1
"straight",0.1
"taxis",0.1
"tell",0.1
"time",0.1
"trip",0.1
"unless",0.1
"visit",0.1
"wait",0.1
"watch",0.1
"without",0.1
"able",0.09
"anywhere",0.09
"arrange",0.09
"bring",0.09
"cheapest",0.09
"drinks",0.09
"drivers",0.09
"especially",0.09
"every",0.09
"expect",0.09
"friendly",0.09
"front",0.09
"hard",0.09
"help",0.09
"keep",0.09
"leave",0.09
"looking",0.09
"pick",0.09
"probably",0.09
"reach",0.09
"remember",0.09
"safe",0.09
"side",0.09
"sit",0.09
"someone",0.09
"things",0.09
"worth",0.09
"almost",0.08
"bars",0.08
"called",0.08
"careful",0.08
"catch",0.08
"change",0.08
"charge",0.08
"choose",0.08
"clean",0.08
"continue",0.08
"day",0.08
"definitely",0.08
"depending",0.08
"directly",0.08
"feel",0.08
"foreigners",0.08
"generally",0.08
"gets",0.08
"give",0.08
"great",0.08
"hotels",0.08
"inside",0.08
"less",0.08
"let",0.08
"lots",0.08
"meat",0.08
"miss",0.08
"must",0.08
"negotiate",0.08
"often",0.08
"one",0.08
"ones",0.08
"order",0.08
"outside",0.08
"paying",0.08
"plan",0.08
"possible",0.08
"sign",0.08
"something",0.08
"spend",0.08
"stop",0.08
"takes",0.08
"tend",0.08
"thing",0.08
"ticket",0.08
"tickets",0.08
"anything",0.07
"asking",0.07
"aware",0.07
"beautiful",0.07
"behind",0.07
"book",0.07
"budget",0.07
"car",0.07
"close",0.07
"couple",0.07
"delicious",0.07
"easy",0.07
"else",0.07
"english",0.07
"everything",0.07
"fish",0.07
"follow",0.07
"guide",0.07
"minibus",0.07
"morning",0.07
"mostly",0.07
"offer",0.07
"opposite",0.07
"past",0.07
"per",0.07
"plenty",0.07
"police",0.07
"pretty",0.07
"shopping",0.07
"shops",0.07
"speak",0.07
"staff",0.07
"tourist",0.07
"tourists",0.07
"whole",0.07
