"","religious"
"holy",0.17
"pilgrimage",0.14
"muslims",0.13
"sacred",0.13
"christian",0.12
"lady",0.12
"pilgrims",0.12
"spiritual",0.12
"important",0.11
"hindu",0.1
"monastery",0.1
"mosque",0.1
"temple",0.1
"worship",0.1
"believed",0.09
"catholic",0.09
"cultural",0.09
"festivals",0.09
"god",0.09
"india",0.09
"islamic",0.09
"prayer",0.09
"religion",0.09
"statue",0.09
"women",0.09
"altar",0.08
"ancient",0.08
"built",0.08
"church",0.08
"government",0.08
"images",0.08
"lord",0.08
"made",0.08
"orthodox",0.08
"political",0.08
"became",0.07
"century",0.07
"considered",0.07
"countries",0.07
"decorated",0.07
"jewish",0.07
"muslim",0.07
"oldest",0.07
"persian",0.07
"rs",0.07
"said",0.07
"structure",0.07
"temples",0.07
"wear",0.07
