"","der"
"german",0.17
"germany",0.17
"von",0.13
"berlin",0.12
"baroque",0.11
"richard",0.1
"abbey",0.09
"austrian",0.09
"hall",0.09
"holidays",0.09
"protestant",0.09
"bad",0.08
"beer",0.08
"den",0.08
"wall",0.08
"czech",0.07
"recognize",0.07
"rival",0.07
