"","cafes"
"internet",0.14
"wifi",0.12
"bars",0.11
"streets",0.11
"find",0.1
"shops",0.1
"expensive",0.09
"modern",0.09
"offer",0.09
"queues",0.09
"selling",0.09
"sit",0.09
"taxis",0.09
"ask",0.08
"buy",0.08
"cafe",0.08
"charge",0.08
"cheap",0.08
"cost",0.08
"hotels",0.08
"pay",0.08
"prices",0.08
"quite",0.08
"sell",0.08
"try",0.08
"always",0.07
"avoid",0.07
"cards",0.07
"cheaper",0.07
"clean",0.07
"clubs",0.07
"coffee",0.07
"drink",0.07
"expect",0.07
"look",0.07
"mobile",0.07
"money",0.07
"need",0.07
"number",0.07
"price",0.07
"taxi",0.07
"usually",0.07
"walk",0.07
