"","surprised"
"pancakes",0.1
"bohemian",0.09
"even",0.09
"expect",0.09
"keep",0.09
"might",0.09
"sim",0.09
"sure",0.09
"always",0.08
"asking",0.08
"avoid",0.08
"bottled",0.08
"buying",0.08
"cards",0.08
"currency",0.08
"drivers",0.08
"eating",0.08
"exchange",0.08
"find",0.08
"generally",0.08
"know",0.08
"make",0.08
"mobile",0.08
"money",0.08
"often",0.08
"phones",0.08
"price",0.08
"reputable",0.08
"someone",0.08
"sometimes",0.08
"talking",0.08
"tap",0.08
"tipping",0.08
"will",0.08
"woman",0.08
"wonders",0.08
"accept",0.07
"accepted",0.07
"attention",0.07
"common",0.07
"especially",0.07
"locals",0.07
"offer",0.07
"pay",0.07
"prepaid",0.07
"serious",0.07
"tend",0.07
"try",0.07
"want",0.07
