"","taxi"
"taxis",0.32
"driver",0.26
"cost",0.24
"drivers",0.24
"bus",0.21
"ask",0.2
"costs",0.19
"pay",0.19
"price",0.19
"will",0.18
"get",0.17
"buses",0.16
"cheap",0.16
"shared",0.16
"take",0.16
"can",0.15
"fare",0.15
"leave",0.15
"prices",0.15
"around",0.14
"expensive",0.14
"negotiate",0.14
"terminal",0.14
"wait",0.14
"avoid",0.13
"cab",0.13
"charge",0.13
"depending",0.13
"go",0.13
"night",0.13
"pick",0.13
"ride",0.13
"try",0.13
"usually",0.13
"arrange",0.12
"buy",0.12
"cabs",0.12
"cheaper",0.12
"expect",0.12
"fares",0.12
"find",0.12
"hire",0.12
"hotels",0.12
"know",0.12
"may",0.12
"need",0.12
"per",0.12
"rank",0.12
"service",0.12
"sure",0.12
"trip",0.12
"use",0.12
"waiting",0.12
"walk",0.12
"want",0.12
"airport",0.11
"bargain",0.11
"bars",0.11
"budget",0.11
"clean",0.11
"companies",0.11
"fixed",0.11
"going",0.11
"make",0.11
"might",0.11
"offer",0.11
"option",0.11
"police",0.11
"rate",0.11
"station",0.11
"way",0.11
"able",0.1
"agree",0.1
"always",0.1
"another",0.1
"anywhere",0.1
"available",0.1
"cars",0.1
"catch",0.1
"cheapest",0.1
"day",0.1
"drinks",0.1
"drop",0.1
"food",0.1
"getting",0.1
"hail",0.1
"hotel",0.1
"hours",0.1
"leaving",0.1
"luggage",0.1
"metered",0.1
"money",0.1
"morning",0.1
"note",0.1
"outside",0.1
"passengers",0.1
"private",0.1
"safe",0.1
"tell",0.1
"ticket",0.1
"travel",0.1
"accept",0.09
"best",0.09
"better",0.09
"buying",0.09
"call",0.09
"currency",0.09
"dishes",0.09
"even",0.09
"foreign",0.09
"foreigners",0.09
"front",0.09
"generally",0.09
"good",0.09
"inside",0.09
"insist",0.09
"internet",0.09
"locals",0.09
"minibus",0.09
"next",0.09
"passport",0.09
"paying",0.09
"person",0.09
"quite",0.09
"rates",0.09
"rental",0.09
"room",0.09
"rooms",0.09
"see",0.09
"sell",0.09
"selling",0.09
"services",0.09
"someone",0.09
"staff",0.09
"takes",0.09
"time",0.09
"tourists",0.09
"transport",0.09
"unless",0.09
"'ll",0.08
"air",0.08
"arrive",0.08
"atms",0.08
"aware",0.08
"bargaining",0.08
"bazaar",0.08
"bit",0.08
"book",0.08
"card",0.08
"cards",0.08
"careful",0.08
"check",0.08
"clubs",0.08
"common",0.08
"depart",0.08
"difficult",0.08
"double",0.08
"dropped",0.08
"either",0.08
"especially",0.08
"every",0.08
"exchange",0.08
"fast",0.08
"fee",0.08
"floor",0.08
"give",0.08
"higher",0.08
"hiring",0.08
"hour",0.08
"journey",0.08
"leaves",0.08
"less",0.08
"let",0.08
"like",0.08
"local",0.08
"longer",0.08
"look",0.08
"must",0.08
"nice",0.08
"often",0.08
"opposite",0.08
"people",0.08
"places",0.08
"prepared",0.08
"refuse",0.08
"reliable",0.08
"rent",0.08
"run",0.08
"security",0.08
"shuttle",0.08
"slightly",0.08
"sometimes",0.08
"speak",0.08
"start",0.08
"staying",0.08
"stop",0.08
"though",0.08
"tickets",0.08
"times",0.08
"tourist",0.08
"traffic",0.08
"trying",0.08
"vendors",0.08
"visa",0.08
"wifi",0.08
"without",0.08
"women",0.08
"yellow",0.08
"advance",0.07
"arrival",0.07
"arriving",0.07
"asking",0.07
"beware",0.07
"cafes",0.07
"come",0.07
"consider",0.07
"crowded",0.07
"departure",0.07
"direct",0.07
"distance",0.07
"english",0.07
"enter",0.07
"entrance",0.07
"extremely",0.07
"foreigner",0.07
"free",0.07
"frequent",0.07
"government",0.07
"help",0.07
"just",0.07
"keep",0.07
"lot",0.07
"market",0.07
"meter",0.07
"minutes",0.07
"motorbike",0.07
"much",0.07
"normal",0.07
"one",0.07
"operate",0.07
"options",0.07
"probably",0.07
"renting",0.07
"return",0.07
"save",0.07
"serve",0.07
"serving",0.07
"stand",0.07
"stay",0.07
"touts",0.07
"transfer",0.07
