"","grape"
"wine",0.2
"wines",0.17
"finger",0.16
"grapes",0.16
"flavored",0.15
"vineyards",0.14
"vineyard",0.13
"immigrants",0.11
"duty",0.1
"wineries",0.1
"producer",0.09
"varieties",0.09
"grade",0.08
"pie",0.08
"tasting",0.08
"winery",0.08
"sparkling",0.07
