"","hungarian"
"baroque",0.17
"catholic",0.15
"thermal",0.14
"altar",0.13
"equal",0.13
"folk",0.13
"exhibition",0.12
"identity",0.12
"jewish",0.12
"facade",0.11
"gothic",0.11
"protestant",0.11
"wellness",0.11
"chapel",0.1
"church",0.1
"rebuilt",0.1
"roman",0.1
"synagogue",0.1
"built",0.09
"cellars",0.09
"style",0.09
"tu-su",0.09
"cellar",0.08
"eclectic",0.08
"erected",0.08
"ethnic",0.08
"german",0.08
"hall",0.08
"history",0.08
"leader",0.08
"legends",0.08
"m-f",0.08
"merged",0.08
"pension",0.08
"building",0.07
"symbol",0.07
"tax",0.07
