"","buddhist"
"buddha",0.24
"tibetan",0.21
"temple",0.19
"sacred",0.17
"monastery",0.16
"temples",0.16
"monks",0.14
"hindu",0.13
"pagoda",0.13
"lotus",0.12
"meditation",0.12
"statues",0.12
"han",0.11
"chinese",0.1
"india",0.1
"ancient",0.09
"china",0.09
"dynasty",0.08
"indian",0.08
"pilgrims",0.08
"relics",0.08
"rice",0.08
"sites",0.08
"statue",0.08
"teachers",0.08
"treasure",0.08
"treasures",0.08
"believed",0.07
"blood",0.07
"muslim",0.07
"silk",0.07
