"","vegetarian"
"vegan",0.23
"food",0.16
"indian",0.14
"dishes",0.13
"menu",0.13
"cuisine",0.12
"restaurant",0.12
"shiva",0.12
"tamil",0.12
"tasty",0.12
"veggie",0.12
"cafe",0.11
"coffee",0.11
"delicious",0.11
"friendly",0.11
"good",0.11
"lunch",0.11
"non",0.11
"place",0.11
"selection",0.11
"temple",0.11
"authentic",0.1
"healthy",0.1
"india",0.1
"lord",0.1
"organic",0.1
"rooms",0.1
"serving",0.1
"stand",0.1
"yoga",0.1
"always",0.09
"available",0.09
"beer",0.09
"charge",0.09
"cheap",0.09
"clean",0.09
"curries",0.09
"dance",0.09
"excellent",0.09
"free",0.09
"fresh",0.09
"great",0.09
"hindu",0.09
"meat",0.09
"night",0.09
"price",0.09
"pure",0.09
"quality",0.09
"relaxed",0.09
"serves",0.09
"staff",0.09
"try",0.09
"variety",0.09
"art",0.08
"asian",0.08
"avoid",0.08
"bar",0.08
"best",0.08
"books",0.08
"breakfast",0.08
"budget",0.08
"chicken",0.08
"classes",0.08
"evening",0.08
"floor",0.08
"garden",0.08
"happy",0.08
"inside",0.08
"internet",0.08
"like",0.08
"meal",0.08
"meals",0.08
"music",0.08
"offering",0.08
"offers",0.08
"opposite",0.08
"options",0.08
"prepaid",0.08
"procession",0.08
"rooftop",0.08
"room",0.08
"rs",0.08
"serve",0.08
"special",0.08
"student",0.08
"students",0.08
"tea",0.08
"temples",0.08
"university",0.08
"'''hotel",0.07
"advance",0.07
"almost",0.07
"atmosphere",0.07
"beers",0.07
"better",0.07
"block",0.07
"buffet",0.07
"cards",0.07
"chinese",0.07
"choice",0.07
"corner",0.07
"cost",0.07
"crowded",0.07
"desserts",0.07
"every",0.07
"jewellery",0.07
"live",0.07
"made",0.07
"month",0.07
"noon",0.07
"pay",0.07
"prices",0.07
"quite",0.07
"reasonable",0.07
"salad",0.07
"salads",0.07
"spiritual",0.07
"style",0.07
"though",0.07
