"","expensive"
"cheaper",0.21
"pay",0.2
"cheap",0.19
"prices",0.19
"cost",0.18
"price",0.18
"usually",0.18
"ask",0.17
"expect",0.17
"money",0.17
"always",0.16
"avoid",0.16
"bit",0.16
"driver",0.16
"drivers",0.16
"even",0.16
"find",0.16
"generally",0.16
"often",0.16
"paying",0.16
"try",0.16
"will",0.16
"better",0.15
"good",0.15
"less",0.15
"make",0.15
"may",0.15
"night",0.15
"quite",0.15
"sure",0.15
"want",0.15
"without",0.15
"'re",0.14
"accept",0.14
"buy",0.14
"charge",0.14
"cheapest",0.14
"especially",0.14
"exchange",0.14
"know",0.14
"offer",0.14
"slightly",0.14
"sometimes",0.14
"taxi",0.14
"taxis",0.14
"tend",0.14
"tickets",0.14
"'s",0.13
"although",0.13
"bars",0.13
"budget",0.13
"card",0.13
"cards",0.13
"countries",0.13
"drink",0.13
"extremely",0.13
"food",0.13
"get",0.13
"give",0.13
"internet",0.13
"keep",0.13
"least",0.13
"locals",0.13
"might",0.13
"much",0.13
"need",0.13
"note",0.13
"option",0.13
"outside",0.13
"per",0.13
"sell",0.13
"use",0.13
"worth",0.13
"aware",0.12
"best",0.12
"beware",0.12
"compared",0.12
"costs",0.12
"currency",0.12
"depending",0.12
"dollars",0.12
"drinks",0.12
"go",0.12
"going",0.12
"hotels",0.12
"leave",0.12
"like",0.12
"nice",0.12
"police",0.12
"probably",0.12
"quality",0.12
"rate",0.12
"safe",0.12
"staff",0.12
"ticket",0.12
"tipping",0.12
"tourists",0.12
"unless",0.12
"visa",0.12
"wait",0.12
"able",0.11
"almost",0.11
"already",0.11
"another",0.11
"arrange",0.11
"asking",0.11
"bargain",0.11
"beer",0.11
"buying",0.11
"cash",0.11
"certain",0.11
"change",0.11
"charged",0.11
"clean",0.11
"common",0.11
"companies",0.11
"credit",0.11
"difficult",0.11
"embassy",0.11
"english",0.11
"european",0.11
"extra",0.11
"far",0.11
"foreign",0.11
"free",0.11
"friendly",0.11
"getting",0.11
"hard",0.11
"help",0.11
"higher",0.11
"highly",0.11
"insist",0.11
"little",0.11
"look",0.11
"meat",0.11
"next",0.11
"offices",0.11
"ones",0.11
"paid",0.11
"places",0.11
"prepaid",0.11
"prepared",0.11
"problem",0.11
"rather",0.11
"relatively",0.11
