"","occupied"
"occupation",0.13
"became",0.11
"war",0.11
"annexed",0.1
"polish",0.09
"conquered",0.08
"forces",0.08
"fortress",0.08
"later",0.08
"period",0.08
"ad",0.07
"built",0.07
"came",0.07
"kingdom",0.07
"returned",0.07
"troops",0.07
"un",0.07
"vietnam",0.07
