"","meat"
"dishes",0.2
"dish",0.18
"pork",0.14
"fried",0.13
"grilled",0.13
"soup",0.13
"boiled",0.12
"cooked",0.12
"eaten",0.12
"food",0.12
"try",0.12
"usually",0.12
"always",0.11
"expensive",0.11
"foreign",0.11
"fresh",0.11
"rice",0.11
"roasted",0.11
"sauce",0.11
"spices",0.11
"spicy",0.11
"tasty",0.11
"tender",0.11
"vegetable",0.11
"ask",0.1
"cards",0.1
"cheap",0.1
"chicken",0.1
"countries",0.1
"cuisine",0.1
"different",0.1
"dough",0.1
"especially",0.1
"fermented",0.1
"find",0.1
"flour",0.1
"good",0.1
"made",0.1
"milk",0.1
"prices",0.1
"stew",0.1
"vegetables",0.1
"visa",0.1
"bean",0.09
"beans",0.09
"beef",0.09
"bread",0.09
"buy",0.09
"common",0.09
"currency",0.09
"drink",0.09
"exchange",0.09
"fish",0.09
"foreigners",0.09
"fruit",0.09
"menu",0.09
"mix",0.09
"mixed",0.09
"often",0.09
"order",0.09
"pay",0.09
"people",0.09
"plate",0.09
"prepared",0.09
"price",0.09
"products",0.09
"quality",0.09
"rate",0.09
"sausage",0.09
"serve",0.09
"similar",0.09
"sometimes",0.09
"sour",0.09
"speak",0.09
"sure",0.09
"vegetarian",0.09
"without",0.09
"avoid",0.08
"bars",0.08
"beer",0.08
"called",0.08
"case",0.08
"coffee",0.08
"cooking",0.08
"delicious",0.08
"driver",0.08
"drivers",0.08
"drunk",0.08
"egg",0.08
"embassy",0.08
"english",0.08
"even",0.08
"friendly",0.08
"generally",0.08
"ginger",0.08
"go",0.08
"herbs",0.08
"kind",0.08
"lamb",0.08
"like",0.08
"make",0.08
"meal",0.08
"meats",0.08
"night",0.08
"noodles",0.08
"pies",0.08
"police",0.08
"put",0.08
"raw",0.08
"restaurant",0.08
"salad",0.08
"say",0.08
"selection",0.08
"sell",0.08
"served",0.08
"sim",0.08
"smoked",0.08
"staff",0.08
"stuffed",0.08
"sweet",0.08
"tend",0.08
"type",0.08
"typical",0.08
"used",0.08
"visas",0.08
"'re",0.07
"accept",0.07
"amount",0.07
"another",0.07
"best",0.07
"better",0.07
"big",0.07
"brands",0.07
"careful",0.07
"charge",0.07
"cheaper",0.07
"cheese",0.07
"cost",0.07
"costs",0.07
"cover",0.07
"eat",0.07
"eating",0.07
"european",0.07
"excellent",0.07
"extremely",0.07
"filling",0.07
"found",0.07
"hard",0.07
"internet",0.07
"know",0.07
"language",0.07
"locals",0.07
"look",0.07
"may",0.07
"men",0.07
"menus",0.07
"might",0.07
"money",0.07
"much",0.07
"nice",0.07
"noodle",0.07
"numbers",0.07
"outside",0.07
"pastry",0.07
"prepaid",0.07
"recipes",0.07
"republic",0.07
"sandwiches",0.07
"second",0.07
"slices",0.07
"special",0.07
"standard",0.07
"steamed",0.07
"taxis",0.07
"tomato",0.07
"typically",0.07
"uncommon",0.07
"variety",0.07
"version",0.07
"wrapped",0.07
