"","tv"
"cable",0.24
"rooms",0.24
"bathroom",0.21
"double",0.18
"internet",0.18
"satellite",0.17
"room",0.16
"dvd",0.15
"lcd",0.15
"bathrooms",0.14
"equipped",0.13
"free",0.13
"laundry",0.13
"screen",0.13
"breakfast",0.12
"kitchen",0.12
"wi-fi",0.12
"wifi",0.12
"clean",0.11
"single",0.11
"air-con",0.1
"balcony",0.1
"channels",0.1
"friendly",0.1
"pension",0.1
"private",0.1
"shower",0.1
"triple",0.1
"wireless",0.1
"bath",0.09
"deluxe",0.09
"fan",0.09
"hair",0.09
"hotel",0.09
"lounge",0.09
"pool",0.09
"shared",0.09
"spacious",0.09
"staff",0.09
"toilet",0.09
"bar",0.08
"bedrooms",0.08
"cheap",0.08
"coffee",0.08
"dorm",0.08
"facilities",0.08
"fitness",0.08
"floor",0.08
"guest",0.08
"hostel",0.08
"hot",0.08
"lobby",0.08
"night",0.08
"person",0.08
"price",0.08
"prices",0.08
"restaurant",0.08
"suite",0.08
"swimming",0.08
"table",0.08
"bamboo",0.07
"beds",0.07
"check-",0.07
"corner",0.07
"fridge",0.07
"fully",0.07
"house",0.07
"hr",0.07
"rates",0.07
"suites",0.07
"terrace",0.07
