"","upscale"
"dining",0.16
"downtown",0.16
"blvd",0.15
"features",0.13
"american",0.12
"featuring",0.12
"mall",0.12
"shopping",0.12
"sushi",0.12
"trendy",0.12
"ave",0.11
"bar",0.11
"favorite",0.11
"live",0.11
"marriott",0.11
"menu",0.11
"art",0.1
"avenue",0.1
"business",0.1
"casual",0.1
"center",0.1
"f-sa",0.1
"fitness",0.1
"food",0.1
"italian",0.1
"lounge",0.1
"malls",0.1
"metro",0.1
"movie",0.1
"outdoor",0.1
"restaurant",0.1
"selection",0.1
"suites",0.1
"arts",0.09
"block",0.09
"blocks",0.09
"boulevard",0.09
"classic",0.09
"college",0.09
"convention",0.09
"cuisine",0.09
"free",0.09
"gourmet",0.09
"great",0.09
"locations",0.09
"offers",0.09
"parking",0.09
"patio",0.09
"pizza",0.09
"pool",0.09
"sandwiches",0.09
"stores",0.09
"su",0.09
"theater",0.09
"trolley",0.09
"united",0.09
"variety",0.09
"appetizers",0.08
"authentic",0.08
"boutique",0.08
"boutiques",0.08
"burgers",0.08
"campus",0.08
"chain",0.08
"city's",0.08
"diner",0.08
"dr",0.08
"entrees",0.08
"fine",0.08
"fun",0.08
"grill",0.08
"high-end",0.08
"hilton",0.08
"indoor",0.08
"music",0.08
"offer",0.08
"plaza",0.08
"rd",0.08
"rentals",0.08
"salads",0.08
"specials",0.08
"specialty",0.08
"steaks",0.08
"store",0.08
"street",0.08
"suburb",0.08
"suburban",0.08
"theaters",0.08
"throughout",0.08
"university",0.08
"vacation",0.08
"wings",0.08
"york",0.08
"adjacent",0.07
"asian",0.07
"atmosphere",0.07
"baseball",0.07
"beer",0.07
"brunch",0.07
"club",0.07
"coffee",0.07
"eclectic",0.07
"fashion",0.07
"friendly",0.07
"galleries",0.07
"golf",0.07
"inn",0.07
"large",0.07
"lunch",0.07
"mexican",0.07
"plays",0.07
"popular",0.07
"theatre",0.07
"transit",0.07
"vegan",0.07
"vibrant",0.07
"wireless",0.07
