"","inn"
"phone",0.42
"st",0.32
"ave",0.3
"street",0.29
"suites",0.27
"dr",0.26
"blvd",0.24
"downtown",0.24
"motel",0.24
"rd",0.24
"avenue",0.22
"miles",0.2
"restaurant",0.19
"grill",0.18
"interstate",0.18
"bed",0.17
"dining",0.17
"hwy",0.17
"mexican",0.17
"breakfast",0.16
"drive",0.16
"exit",0.16
"express",0.16
"fitness",0.16
"highway",0.16
"pizza",0.16
"steakhouse",0.16
"us",0.16
"bar",0.15
"county",0.15
"features",0.15
"house",0.15
"indoor",0.15
"mall",0.15
"marriott",0.15
"park",0.15
"parkway",0.15
"arts",0.14
"east",0.14
"featuring",0.14
"free",0.14
"historic",0.14
"outdoor",0.14
"state",0.14
"west",0.14
"wireless",0.14
"boulevard",0.13
"creek",0.13
"deli",0.13
"golf",0.13
"route",0.13
"american",0.12
"amtrak",0.12
"antique",0.12
"antiques",0.12
"center",0.12
"college",0.12
"diner",0.12
"mile",0.12
"north",0.12
"pkwy",0.12
"rv",0.12
"south",0.12
"steak",0.12
"su",0.12
"bistro",0.11
"broadway",0.11
"california",0.11
"f-sa",0.11
"grille",0.11
"heated",0.11
"jacuzzi",0.11
"ln",0.11
"lodge",0.11
"lounge",0.11
"pub",0.11
"tavern",0.11
"transit",0.11
"victorian",0.11
"washington",0.11
"western",0.11
"acres",0.1
"cafe",0.1
"campground",0.1
"casual",0.1
"depot",0.1
"dinner",0.1
"gift",0.1
"gourmet",0.1
"greyhound",0.1
"lane",0.1
"live",0.1
"memorial",0.1
"mill",0.1
"motor",0.1
"railroad",0.1
"sandwiches",0.1
"taco",0.1
"texas",0.1
"theater",0.1
"whirlpool",0.1
"buffet",0.09
"business",0.09
"ca",0.09
"campus",0.09
"chain",0.09
"commerce",0.09
"convention",0.09
"court",0.09
"drive-",0.09
"exits",0.09
"favorite",0.09
"harbor",0.09
"home",0.09
"jackson",0.09
"jefferson",0.09
"library",0.09
"lunch",0.09
"meeting",0.09
"movie",0.09
"patio",0.09
"pet",0.09
"ranch",0.09
"sa",0.09
"specials",0.09
"store",0.09
"suite",0.09
"wings",0.09
"-room",0.08
"-site",0.08
"airport'''",0.08
"amenities",0.08
"angeles",0.08
"barn",0.08
"baseball",0.08
"burger",0.08
"burgers",0.08
"chicago",0.08
"classic",0.08
"club",0.08
"country",0.08
"course",0.08
"dog",0.08
"events",0.08
"exhibits",0.08
"family",0.08
"freeway",0.08
"friday",0.08
"gifts",0.08
"homemade",0.08
"labor",0.08
"lincoln",0.08
"m-sa",0.08
"mansion",0.08
"menu",0.08
"museum",0.08
"new",0.08
"oak",0.08
"pets",0.08
"picnic",0.08
"queen",0.08
"retail",0.08
"saturday",0.08
"se",0.08
"service",0.08
"shop",0.08
"sushi",0.08
"symphony",0.08
"theatre",0.08
"united",0.08
"weekend",0.08
"york",0.08
"america",0.07
"bbq",0.07
"box",0.07
"brunch",0.07
"chamber",0.07
"community",0.07
"cream",0.07
"gallery",0.07
"johnson",0.07
"monday",0.07
"parking",0.07
"performing",0.07
"rodeo",0.07
"seafood",0.07
"selection",0.07
"shopping",0.07
"specialty",0.07
"sports",0.07
"steaks",0.07
"trail",0.07
"trolley",0.07
"turnpike",0.07
"upscale",0.07
