"","wireless"
"internet",0.38
"free",0.25
"high-speed",0.18
"fitness",0.17
"breakfast",0.15
"inn",0.14
"heated",0.13
"laundry",0.13
"room",0.13
"rooms",0.13
"suites",0.13
"-room",0.12
"indoor",0.12
"jacuzzi",0.12
"pool",0.12
"business",0.11
"outdoor",0.11
"suite",0.11
"whirlpool",0.11
"cable",0.1
"dr",0.1
"f-sa",0.1
"st",0.1
"tv",0.1
"amenities",0.09
"ave",0.09
"bed",0.09
"coffee",0.09
"deluxe",0.09
"full",0.09
"guest",0.09
"kitchens",0.09
"meeting",0.09
"offers",0.09
"pet",0.09
"pets",0.09
"rd",0.09
"restaurant",0.09
"spacious",0.09
"-site",0.08
"access",0.08
"blvd",0.08
"boutique",0.08
"computer",0.08
"conference",0.08
"dining",0.08
"downtown",0.08
"extended",0.08
"hot",0.08
"hotel",0.08
"kitchen",0.08
"library",0.08
"lobby",0.08
"motel",0.08
"queen",0.08
"street",0.08
"su",0.08
"avenue",0.07
"baked",0.07
"bar",0.07
"center",0.07
"convention",0.07
"dinner",0.07
"discounts",0.07
"equipped",0.07
"features",0.07
"friendly",0.07
"include",0.07
"live",0.07
"lounge",0.07
"lunch",0.07
"mall",0.07
"patio",0.07
"pizza",0.07
"rates",0.07
"selection",0.07
"shuttle",0.07
"swimming",0.07
"upscale",0.07
