"","evening"
"morning",0.15
"night",0.11
"food",0.1
"day",0.09
"every",0.09
"music",0.09
"afternoon",0.08
"available",0.08
"bar",0.08
"breakfast",0.08
"drinks",0.08
"enjoy",0.08
"friday",0.08
"friendly",0.08
"late",0.08
"live",0.08
"lively",0.08
"lunch",0.08
"meals",0.08
"open",0.08
"room",0.08
"run",0.08
"selection",0.08
"time",0.08
"vegetarian",0.08
"delays",0.07
"drink",0.07
"early",0.07
"fares",0.07
"generally",0.07
"good",0.07
"menu",0.07
"next",0.07
"nice",0.07
"often",0.07
"rush",0.07
"saturday",0.07
"selling",0.07
"shop",0.07
