"","deluxe"
"suite",0.15
"room",0.14
"rooms",0.14
"suites",0.14
"hotel",0.12
"jacuzzi",0.11
"rs",0.11
"standard",0.11
"conference",0.1
"fitness",0.1
"lcd",0.1
"rates",0.1
"superior",0.1
"-room",0.09
"ac",0.09
"equipped",0.09
"facilities",0.09
"furnished",0.09
"internet",0.09
"laundry",0.09
"tv",0.09
"wireless",0.09
"budget",0.08
"business",0.08
"executive",0.08
"global",0.08
"guests",0.08
"india",0.08
"indian",0.08
"massage",0.08
"pool",0.08
"private",0.08
"rickshaw",0.08
"spacious",0.08
"super",0.08
"triple",0.08
"whirlpool",0.08
"dining",0.07
"double",0.07
"resort",0.07
"vip",0.07
