"","meal"
"prices",0.14
"food",0.12
"menu",0.12
"dishes",0.11
"lunch",0.11
"restaurant",0.11
"try",0.11
"bit",0.1
"cheap",0.1
"cooked",0.1
"cuisine",0.1
"delicious",0.1
"drink",0.1
"expect",0.1
"expensive",0.1
"find",0.1
"fresh",0.1
"friendly",0.1
"good",0.1
"meals",0.1
"price",0.1
"quality",0.1
"always",0.09
"cost",0.09
"dinner",0.09
"drinks",0.09
"eat",0.09
"enjoy",0.09
"even",0.09
"money",0.09
"offer",0.09
"pay",0.09
"room",0.09
"selection",0.09
"serve",0.09
"something",0.09
"soup",0.09
"sure",0.09
"usually",0.09
"variety",0.09
"want",0.09
"will",0.09
"ask",0.08
"atmosphere",0.08
"beer",0.08
"better",0.08
"buffet",0.08
"chef",0.08
"chicken",0.08
"depending",0.08
"eaten",0.08
"eating",0.08
"excellent",0.08
"give",0.08
"great",0.08
"happy",0.08
"hard",0.08
"internet",0.08
"lebanese",0.08
"let",0.08
"like",0.08
"looking",0.08
"make",0.08
"meat",0.08
"nice",0.08
"night",0.08
"often",0.08
"open",0.08
"order",0.08
"per",0.08
"prepared",0.08
"reasonable",0.08
"sell",0.08
"serves",0.08
"serving",0.08
"sit",0.08
"staff",0.08
"vegetarian",0.08
"worth",0.08
"authentic",0.07
"available",0.07
"avoid",0.07
"breakfast",0.07
"buy",0.07
"choose",0.07
"clean",0.07
"cold",0.07
"day",0.07
"definitely",0.07
"different",0.07
"generally",0.07
"hearty",0.07
"items",0.07
"little",0.07
"locals",0.07
"might",0.07
"offers",0.07
"prepare",0.07
"rice",0.07
"right",0.07
"salad",0.07
"set",0.07
"walk",0.07
