"","animals"
"wild",0.19
"zoo",0.17
"species",0.14
"animal",0.13
"birds",0.12
"wildlife",0.12
"safari",0.11
"plants",0.1
"deer",0.09
"elephant",0.09
"feed",0.09
"natural",0.08
"bird",0.07
"endangered",0.07
"even",0.07
"keep",0.07
"like",0.07
