"","estuary"
"quay",0.12
"mouth",0.09
"naturally",0.09
"footpath",0.08
"imperial",0.08
"patrol",0.08
"sail",0.08
"tidal",0.08
"beach",0.07
"london",0.07
"mangrove",0.07
"norman",0.07
"seaside",0.07
