"","plastic"
"bags",0.17
"bottles",0.12
"bag",0.11
"chairs",0.11
"money",0.1
"pay",0.1
"payment",0.1
"sold",0.1
"avoid",0.09
"buying",0.09
"carry",0.09
"currency",0.09
"exchange",0.09
"generally",0.09
"paying",0.09
"price",0.09
"unless",0.09
"visa",0.09
"want",0.09
"always",0.08
"anything",0.08
"ask",0.08
"atms",0.08
"bottle",0.08
"bring",0.08
"buy",0.08
"cheap",0.08
"countries",0.08
"drinking",0.08
"expensive",0.08
"foreigners",0.08
"insist",0.08
"leave",0.08
"luggage",0.08
"notes",0.08
"passport",0.08
"prices",0.08
"try",0.08
"visas",0.08
"accept",0.07
"asked",0.07
"cards",0.07
"case",0.07
"change",0.07
"drinks",0.07
"embassy",0.07
"entry",0.07
"expect",0.07
"foreign",0.07
"higher",0.07
"keep",0.07
"may",0.07
"sell",0.07
"women",0.07
