"","old"
"buildings",0.16
"century",0.14
"building",0.13
"built",0.13
"church",0.13
"museum",0.13
"walls",0.13
"houses",0.12
"town",0.12
"churches",0.11
"medieval",0.11
"modern",0.11
"oldest",0.11
"still",0.11
"'''old",0.1
"centre",0.1
"gothic",0.1
"hall",0.1
"house",0.1
"nice",0.1
"now",0.1
"streets",0.1
"alleys",0.09
"castle",0.09
"former",0.09
"historical",0.09
"original",0.09
"preserved",0.09
"restored",0.09
"square",0.09
"stone",0.09
"tower",0.09
"used",0.09
"wooden",0.09
"worth",0.09
"years",0.09
"back",0.08
"baroque",0.08
"beautiful",0.08
"dating",0.08
"gate",0.08
"historic",0.08
"history",0.08
"middle",0.08
"narrow",0.08
"part",0.08
"rebuilt",0.08
"remains",0.08
"renovated",0.08
"roman",0.08
"station",0.08
"style",0.08
"train",0.08
"walk",0.08
"wall",0.08
"year",0.08
"ancient",0.07
"art",0.07
"became",0.07
"beer",0.07
"cathedral",0.07
"centuries",0.07
"collection",0.07
"decorated",0.07
"fashioned",0.07
"find",0.07
"good",0.07
"parking",0.07
"pedestrian",0.07
"railway",0.07
