"","ale"
"real",0.15
"ales",0.13
"settle",0.12
"pub",0.11
"pubs",0.11
"london",0.1
"cycle",0.09
"pint",0.09
"award",0.08
"brewery",0.08
"mill",0.08
"beers",0.07
"england",0.07
"services",0.07
"victoria",0.07
