"","sunday"
"saturday",0.31
"monday",0.25
"friday",0.23
"tuesday",0.21
"thursday",0.2
"brunch",0.16
"open",0.16
"wednesday",0.16
"closed",0.14
"every",0.12
"lunch",0.12
"saturdays",0.12
"sundays",0.12
"market",0.11
"music",0.11
"street",0.11
"bar",0.1
"dinner",0.1
"free",0.1
"held",0.1
"live",0.1
"month",0.1
"restaurant",0.1
"art",0.09
"bands",0.09
"children",0.09
"events",0.09
"fridays",0.09
"menu",0.09
"mondays",0.09
"pub",0.09
"september",0.09
"weekends",0.09
"arts",0.08
"club",0.08
"concerts",0.08
"dining",0.08
"easter",0.08
"gallery",0.08
"house",0.08
"monthly",0.08
"parking",0.08
"phone",0.08
"pm",0.08
"public",0.08
"selection",0.08
"st",0.08
"student",0.08
"students",0.08
"weekend",0.08
"cafe",0.07
"dance",0.07
"evenings",0.07
"features",0.07
"festival",0.07
"fine",0.07
"first",0.07
"gourmet",0.07
"holidays",0.07
"indoor",0.07
"italian",0.07
"july",0.07
"october",0.07
"outdoor",0.07
"pizza",0.07
"sat",0.07
"serving",0.07
"variety",0.07
"week",0.07
