"","saltwater"
"actively",0.18
"shoreline",0.16
"wetlands",0.15
"sound",0.14
"key",0.13
"marine",0.13
"freshwater",0.11
"tidal",0.11
"birds",0.1
"launch",0.1
"peninsula",0.1
"sealed",0.1
"campsites",0.09
"dock",0.09
"feet",0.09
"kayak",0.09
"migration",0.09
"olympic",0.09
"seals",0.09
"alaska",0.08
"habitat",0.08
"inlet",0.08
"removed",0.08
"shores",0.08
"boat",0.07
"camping",0.07
"extending",0.07
"gentle",0.07
"page",0.07
