"","back"
"dating",0.26
"dates",0.19
"will",0.14
"laid",0.13
"make",0.13
"come",0.12
"even",0.12
"return",0.12
"still",0.12
"sure",0.12
"time",0.12
"walk",0.12
"want",0.12
"ask",0.11
"find",0.11
"get",0.11
"go",0.11
"look",0.11
"pay",0.11
"see",0.11
"top",0.11
"trip",0.11
"way",0.11
"'ll",0.1
"'s",0.1
"better",0.1
"bit",0.1
"day",0.1
"give",0.1
"going",0.1
"just",0.1
"know",0.1
"little",0.1
"may",0.1
"might",0.1
"right",0.1
"set",0.1
"side",0.1
"sit",0.1
"staff",0.1
"try",0.1
"'re",0.09
"always",0.09
"another",0.09
"around",0.09
"avoid",0.09
"bring",0.09
"buy",0.09
"date",0.09
"driver",0.09
"end",0.09
"expensive",0.09
"far",0.09
"first",0.09
"friendly",0.09
"front",0.09
"getting",0.09
"head",0.09
"keep",0.09
"leave",0.09
"left",0.09
"let",0.09
"likely",0.09
"locals",0.09
"need",0.09
"night",0.09
"offer",0.09
"outside",0.09
"place",0.09
"possible",0.09
"price",0.09
"prices",0.09
"probably",0.09
"quite",0.09
"ride",0.09
"sell",0.09
"something",0.09
"start",0.09
"stay",0.09
"take",0.09
"tourists",0.09
"views",0.09
"wait",0.09
"without",0.09
"years",0.09
"able",0.08
"arrange",0.08
"behind",0.08
"best",0.08
"building",0.08
"can",0.08
"century",0.08
"charge",0.08
"check",0.08
"clean",0.08
"cost",0.08
"couple",0.08
"drink",0.08
"drinks",0.08
"entrance",0.08
"expect",0.08
"extra",0.08
"fee",0.08
"feel",0.08
"food",0.08
"forth",0.08
"goes",0.08
"good",0.08
"hard",0.08
"help",0.08
"history",0.08
"houses",0.08
"last",0.08
"least",0.08
"like",0.08
"longer",0.08
"looking",0.08
"made",0.08
"modern",0.08
"money",0.08
"much",0.08
"next",0.08
"nice",0.08
"note",0.08
"old",0.08
"one",0.08
"option",0.08
"past",0.08
"paying",0.08
"prepared",0.08
"rather",0.08
"really",0.08
"room",0.08
"rooms",0.08
"save",0.08
"short",0.08
"simple",0.08
"slightly",0.08
"though",0.08
"ticket",0.08
"tourist",0.08
"two",0.08
"use",0.08
"used",0.08
"usually",0.08
"walking",0.08
"work",0.08
"worth",0.08
"almost",0.07
"buildings",0.07
"buying",0.07
"cards",0.07
"carry",0.07
"cheap",0.07
"climb",0.07
"different",0.07
"drivers",0.07
"drop",0.07
"early",0.07
"easy",0.07
"either",0.07
"enjoy",0.07
"enough",0.07
"especially",0.07
"fill",0.07
"found",0.07
"great",0.07
"hand",0.07
"huge",0.07
"inside",0.07
"later",0.07
"less",0.07
"looks",0.07
"must",0.07
"nothing",0.07
"often",0.07
"pick",0.07
"plan",0.07
"relaxed",0.07
"seems",0.07
"similar",0.07
"sometimes",0.07
"takes",0.07
"tour",0.07
"towards",0.07
"visit",0.07
"waiting",0.07
"water",0.07
"whole",0.07
