"","though"
"even",0.2
"generally",0.15
"may",0.14
"might",0.14
"often",0.14
"better",0.13
"especially",0.13
"much",0.13
"still",0.13
"always",0.12
"avoid",0.12
"drivers",0.12
"english",0.12
"expect",0.12
"foreign",0.12
"pay",0.12
"quite",0.12
"sometimes",0.12
"usually",0.12
"almost",0.11
"cheaper",0.11
"expensive",0.11
"language",0.11
"least",0.11
"like",0.11
"make",0.11
"speak",0.11
"tend",0.11
"without",0.11
"another",0.1
"areas",0.1
"ask",0.1
"bit",0.1
"cheap",0.1
"common",0.1
"cost",0.1
"countries",0.1
"difficult",0.1
"due",0.1
"need",0.1
"note",0.1
"offer",0.1
"price",0.1
"prices",0.1
"rarely",0.1
"relatively",0.1
"similar",0.1
"sure",0.1
"taxis",0.1
"will",0.1
"worth",0.1
"'re",0.09
"able",0.09
"accept",0.09
"advisable",0.09
"anything",0.09
"aware",0.09
"best",0.09
"budget",0.09
"certain",0.09
"check",0.09
"compared",0.09
"crowded",0.09
"currency",0.09
"driver",0.09
"either",0.09
"european",0.09
"exchange",0.09
"extremely",0.09
"fairly",0.09
"far",0.09
"find",0.09
"give",0.09
"good",0.09
"hard",0.09
"highly",0.09
"keep",0.09
"less",0.09
"likely",0.09
"little",0.09
"locals",0.09
"money",0.09
"mostly",0.09
"night",0.09
"number",0.09
"official",0.09
"parts",0.09
"paying",0.09
"perhaps",0.09
"places",0.09
"police",0.09
"political",0.09
"prepaid",0.09
"probably",0.09
"rate",0.09
"rather",0.09
"recent",0.09
"require",0.09
"somewhat",0.09
"staff",0.09
"time",0.09
"try",0.09
"unless",0.09
"unlike",0.09
"visa",0.09
"work",0.09
"'s",0.08
"actually",0.08
"amount",0.08
"anywhere",0.08
"asking",0.08
"back",0.08
"bars",0.08
"buy",0.08
"card",0.08
"carry",0.08
"case",0.08
"charge",0.08
"citizens",0.08
"consider",0.08
"considered",0.08
"crime",0.08
"days",0.08
"depending",0.08
"despite",0.08
"different",0.08
"drinking",0.08
"embassy",0.08
"entry",0.08
"exception",0.08
"extra",0.08
"foreigners",0.08
"found",0.08
"getting",0.08
"given",0.08
"help",0.08
"higher",0.08
"hotels",0.08
"illegal",0.08
"instead",0.08
"know",0.08
"languages",0.08
"large",0.08
"longer",0.08
"lot",0.08
"many",0.08
"mobile",0.08
"modern",0.08
"must",0.08
"never",0.08
"normally",0.08
"offices",0.08
"options",0.08
"outside",0.08
"passengers",0.08
"passport",0.08
"people",0.08
"recently",0.08
"required",0.08
"safe",0.08
"serious",0.08
"sim",0.08
"slightly",0.08
"someone",0.08
"spoken",0.08
"standard",0.08
"start",0.08
"stay",0.08
"taxi",0.08
"tends",0.08
"throughout",0.08
"tourists",0.08
"traffic",0.08
"travel",0.08
"travellers",0.08
"uncommon",0.08
"use",0.08
"used",0.08
"visas",0.08
"wait",0.08
"want",0.08
"way",0.08
"well",0.08
"alcohol",0.07
"apply",0.07
"around",0.07
"arrival",0.07
"bargain",0.07
"beware",0.07
"book",0.07
"called",0.07
"cards",0.07
"change",0.07
"charges",0.07
"cities",0.07
"clean",0.07
"decent",0.07
"eastern",0.07
"elsewhere",0.07
"enough",0.07
"excellent",0.07
"feel",0.07
"fixed",0.07
"get",0.07
"going",0.07
"government",0.07
"idea",0.07
"insist",0.07
"last",0.07
"look",0.07
"makes",0.07
"mind",0.07
"nearly",0.07
"network",0.07
"operators",0.07
"plan",0.07
"polite",0.07
"possible",0.07
"prepared",0.07
"problems",0.07
"purchase",0.07
"quality",0.07
"remember",0.07
"rest",0.07
"say",0.07
"see",0.07
"seem",0.07
"sell",0.07
"side",0.07
"smaller",0.07
"specific",0.07
"strict",0.07
"taken",0.07
"thus",0.07
"ticket",0.07
"tipping",0.07
"typically",0.07
"ubiquitous",0.07
"vegetarian",0.07
"violent",0.07
"visiting",0.07
