"","modern"
"building",0.13
"european",0.13
"art",0.12
"still",0.12
"ancient",0.11
"collection",0.11
"find",0.11
"first",0.11
"floor",0.11
"large",0.11
"old",0.11
"rooms",0.11
"shopping",0.11
"streets",0.11
"bars",0.1
"built",0.1
"centre",0.1
"cultural",0.1
"different",0.1
"hotel",0.1
"often",0.1
"opened",0.1
"quite",0.1
"style",0.1
"ticket",0.1
"wide",0.1
"almost",0.09
"buildings",0.09
"cafes",0.09
"central",0.09
"century",0.09
"cheap",0.09
"close",0.09
"design",0.09
"dishes",0.09
"electronic",0.09
"english",0.09
"europe",0.09
"even",0.09
"excellent",0.09
"free",0.09
"important",0.09
"including",0.09
"internet",0.09
"like",0.09
"lines",0.09
"much",0.09
"museum",0.09
"note",0.09
"now",0.09
"outside",0.09
"pedestrian",0.09
"prices",0.09
"range",0.09
"rather",0.09
"renovated",0.09
"roman",0.09
"room",0.09
"student",0.09
"stylish",0.09
"tickets",0.09
"typical",0.09
"use",0.09
"work",0.09
"worth",0.09
"-called",0.08
"always",0.08
"among",0.08
"another",0.08
"avoid",0.08
"back",0.08
"become",0.08
"beer",0.08
"budget",0.08
"business",0.08
"card",0.08
"cathedral",0.08
"cinema",0.08
"cities",0.08
"city's",0.08
"classical",0.08
"clean",0.08
"clubs",0.08
"common",0.08
"complex",0.08
"costs",0.08
"cosy",0.08
"countries",0.08
"cuisine",0.08
"designed",0.08
"entrance",0.08
"especially",0.08
"every",0.08
"exhibition",0.08
"expect",0.08
"expensive",0.08
"facilities",0.08
"feel",0.08
"foreign",0.08
"former",0.08
"friendly",0.08
"generally",0.08
"good",0.08
"ground",0.08
"history",0.08
"huge",0.08
"impressive",0.08
"inside",0.08
"later",0.08
"look",0.08
"made",0.08
"make",0.08
"medieval",0.08
"middle",0.08
"mostly",0.08
"museums",0.08
"music",0.08
"next",0.08
"night",0.08
"number",0.08
"offering",0.08
"oldest",0.08
"pay",0.08
"price",0.08
"quality",0.08
"selection",0.08
"served",0.08
"shops",0.08
"sometimes",0.08
"spacious",0.08
"square",0.08
"staff",0.08
"symbol",0.08
"though",0.08
"top",0.08
"tourist",0.08
"traffic",0.08
"try",0.08
"usually",0.08
"value",0.08
"well",0.08
"works",0.08
"years",0.08
"young",0.08
"artists",0.07
"basement",0.07
"behind",0.07
"best",0.07
"better",0.07
"bit",0.07
"brand",0.07
"busy",0.07
"castle",0.07
"charge",0.07
"cheaper",0.07
"companies",0.07
"decorated",0.07
"driver",0.07
"drivers",0.07
"early",0.07
"elegant",0.07
"exchange",0.07
"extensive",0.07
"famous",0.07
"floors",0.07
"found",0.07
"founded",0.07
"given",0.07
"jewish",0.07
"late",0.07
"long",0.07
"lots",0.07
"luxury",0.07
"malls",0.07
"many",0.07
"market",0.07
"money",0.07
"nice",0.07
"offices",0.07
"ones",0.07
"opposite",0.07
"original",0.07
"palace",0.07
"parking",0.07
"popular",0.07
"quarter",0.07
"reasonable",0.07
"recent",0.07
"recently",0.07
"second",0.07
"services",0.07
"similar",0.07
"since",0.07
"single",0.07
"smaller",0.07
"special",0.07
"standard",0.07
"start",0.07
"students",0.07
"taxis",0.07
"time",0.07
"today",0.07
"tower",0.07
"trendy",0.07
"university",0.07
"using",0.07
"various",0.07
"visit",0.07
"whole",0.07
"within",0.07
"without",0.07
"world",0.07
