"","began"
"became",0.12
"first",0.12
"early",0.1
"completed",0.09
"government",0.09
"moved",0.09
"citizens",0.08
"continued",0.08
"founded",0.08
"late",0.08
"later",0.08
"now",0.08
"remained",0.08
"took",0.08
"war",0.08
"years",0.08
"building",0.07
"settlement",0.07
"work",0.07
