"","block"
"blocks",0.27
"corner",0.15
"calle",0.14
"plaza",0.13
"street",0.11
"downtown",0.1
"free",0.1
"rooftop",0.1
"clean",0.09
"el",0.09
"friendly",0.09
"internet",0.09
"live",0.09
"menu",0.09
"mexican",0.09
"night",0.09
"restaurant",0.09
"square",0.09
"staff",0.09
"upscale",0.09
"wifi",0.09
"addresses",0.08
"art",0.08
"ave",0.08
"avenue",0.08
"bar",0.08
"breakfast",0.08
"fare",0.08
"floor",0.08
"food",0.08
"front",0.08
"lounge",0.08
"lunch",0.08
"music",0.08
"right",0.08
"room",0.08
"rooms",0.08
"selection",0.08
"side",0.08
"streets",0.08
"terminal",0.08
"vendors",0.08
"wi-fi",0.08
"across",0.07
"cheap",0.07
"coffee",0.07
"helpful",0.07
"hot",0.07
"la",0.07
"left",0.07
"parque",0.07
"patio",0.07
"salsa",0.07
"shared",0.07
"steak",0.07
"style",0.07
"table",0.07
"vegetarian",0.07
