"","restaurant"
"bar",0.3
"menu",0.26
"food",0.25
"hotel",0.2
"lunch",0.2
"serves",0.2
"st",0.2
"street",0.2
"dinner",0.19
"inn",0.19
"italian",0.19
"pizza",0.19
"cuisine",0.18
"dining",0.18
"mexican",0.18
"breakfast",0.17
"cafe",0.17
"dishes",0.17
"friendly",0.17
"house",0.17
"phone",0.17
"rd",0.17
"rooms",0.17
"ave",0.16
"family",0.16
"great",0.16
"grill",0.16
"selection",0.16
"serving",0.16
"free",0.15
"good",0.15
"live",0.15
"open",0.15
"pub",0.15
"room",0.15
"seafood",0.15
"atmosphere",0.14
"authentic",0.14
"delicious",0.14
"indoor",0.14
"lounge",0.14
"music",0.14
"nice",0.14
"offers",0.14
"outdoor",0.14
"pool",0.14
"shop",0.14
"style",0.14
"sushi",0.14
"variety",0.14
"avenue",0.13
"buffet",0.13
"chef",0.13
"chicken",0.13
"club",0.13
"coffee",0.13
"excellent",0.13
"fresh",0.13
"prices",0.13
"sandwiches",0.13
"shopping",0.13
"bakery",0.12
"best",0.12
"chinese",0.12
"deli",0.12
"garden",0.12
"internet",0.12
"kitchen",0.12
"mall",0.12
"pasta",0.12
"pizzas",0.12
"place",0.12
"right",0.12
"seating",0.12
"staff",0.12
"steak",0.12
"store",0.12
"su",0.12
"vegetarian",0.12
"beer",0.11
"bistro",0.11
"business",0.11
"casual",0.11
"corner",0.11
"course",0.11
"diner",0.11
"full",0.11
"meal",0.11
"night",0.11
"quality",0.11
"saturday",0.11
"sports",0.11
"steaks",0.11
"suites",0.11
"tasty",0.11
"thai",0.11
"blvd",0.1
"burgers",0.1
"chain",0.1
"cheap",0.1
"closed",0.1
"downtown",0.1
"dr",0.1
"featuring",0.1
"fitness",0.1
"floor",0.1
"friday",0.1
"front",0.1
"fun",0.1
"golf",0.1
"gourmet",0.1
"motel",0.1
"next",0.1
"parking",0.1
"priced",0.1
"reasonable",0.1
"suite",0.1
"sunday",0.1
"swimming",0.1
"table",0.1
"terrace",0.1
"upscale",0.1
"american",0.09
"banquet",0.09
"bed",0.09
"beers",0.09
"block",0.09
"boutique",0.09
"building",0.09
"carte",0.09
"center",0.09
"clean",0.09
"cozy",0.09
"decent",0.09
"drinks",0.09
"eat",0.09
"f-sa",0.09
"features",0.09
"fine",0.09
"grilled",0.09
"happy",0.09
"homemade",0.09
"just",0.09
"karaoke",0.09
"main",0.09
"market",0.09
"nights",0.09
"offering",0.09
"opened",0.09
"owned",0.09
"owner",0.09
"park",0.09
"patio",0.09
"pizzeria",0.09
"popular",0.09
"price",0.09
"private",0.09
"relaxed",0.09
"sa",0.09
"serve",0.09
"spacious",0.09
"specials",0.09
"star",0.09
"tables",0.09
"try",0.09
"value",0.09
"wi-fi",0.09
"wireless",0.09
"affordable",0.08
"art",0.08
"asian",0.08
"baked",0.08
"bars",0.08
"bbq",0.08
"boulevard",0.08
"brunch",0.08
"budget",0.08
"burger",0.08
"classic",0.08
"cocktails",0.08
"conference",0.08
"cream",0.08
"decor",0.08
"enjoy",0.08
"every",0.08
"favorite",0.08
"fish",0.08
"ice",0.08
"including",0.08
"indian",0.08
"intimate",0.08
"irish",0.08
"kids",0.08
"lane",0.08
"located",0.08
"lodge",0.08
"meals",0.08
"meat",0.08
"outside",0.08
"plaza",0.08
"renovated",0.08
"rooftop",0.08
"salad",0.08
"salads",0.08
"service",0.08
"shops",0.08
"steakhouse",0.08
"take-",0.08
"tavern",0.08
"tuesday",0.08
"tv",0.08
"upstairs",0.08
"view",0.08
"walking",0.08
"wide",0.08
"wifi",0.08
"wine",0.08
"available",0.07
"beef",0.07
"bike",0.07
"bit",0.07
"bungalows",0.07
"children's",0.07
"choice",0.07
"cocktail",0.07
"crowd",0.07
"customers",0.07
"dance",0.07
"deck",0.07
"dine",0.07
"double",0.07
"drive",0.07
"fast",0.07
"fries",0.07
"gallery",0.07
"gift",0.07
"inside",0.07
"little",0.07
"looking",0.07
"m-f",0.07
"meeting",0.07
"minutes",0.07
"oven",0.07
"play",0.07
"plus",0.07
"recently",0.07
"road",0.07
"screen",0.07
"sit",0.07
"specialty",0.07
"stores",0.07
"stylish",0.07
"theatre",0.07
"waterfront",0.07
