"","malaysia"
"malaysian",0.5
"jalan",0.32
"singapore",0.23
"thailand",0.18
"sultan",0.15
"thai",0.14
"stalls",0.13
"chinese",0.12
"hat",0.12
"backpacker",0.11
"jetty",0.11
"stall",0.11
"expressway",0.1
"federal",0.1
"indonesia",0.1
"crossing",0.09
"dialect",0.09
"duty",0.09
"rice",0.09
"terminal",0.09
"coconut",0.08
"embassies",0.08
"indonesian",0.08
"noodle",0.08
"noodles",0.08
"spoken",0.08
"asia",0.07
"beside",0.07
"dive",0.07
"jungle",0.07
"kong",0.07
"sauce",0.07
"scuba",0.07
"sri",0.07
"widely",0.07
