"","shuttle"
"service",0.18
"free",0.17
"shuttles",0.16
"airport",0.13
"offer",0.11
"offers",0.11
"operates",0.11
"terminal",0.11
"rental",0.1
"congestion",0.09
"downtown",0.09
"fares",0.09
"kennedy",0.09
"passengers",0.09
"available",0.08
"bus",0.08
"cars",0.08
"fitness",0.08
"locations",0.08
"parking",0.08
"runs",0.08
"suites",0.08
"taxi",0.08
"ticket",0.08
"transfer",0.08
"bar",0.07
"dining",0.07
"internet",0.07
"metro",0.07
"pick",0.07
"pkwy",0.07
"provides",0.07
"public",0.07
"room",0.07
"scheduled",0.07
"services",0.07
"space",0.07
"tickets",0.07
"transit",0.07
"wireless",0.07
