"","seats"
"purchased",0.1
"cheaper",0.09
"driver",0.09
"payment",0.09
"price",0.09
"ticket",0.09
"advance",0.08
"arena",0.08
"book",0.08
"cash",0.08
"charge",0.08
"class",0.08
"cost",0.08
"departs",0.08
"departure",0.08
"drivers",0.08
"expensive",0.08
"karaoke",0.08
"pay",0.08
"paying",0.08
"per",0.08
"prices",0.08
"purchase",0.08
"reserved",0.08
"seat",0.08
"sim",0.08
"sometimes",0.08
"start",0.08
"tickets",0.08
"usage",0.08
"usually",0.08
"visa",0.08
"will",0.08
"work",0.08
"available",0.07
"better",0.07
"costs",0.07
"exchange",0.07
"floor",0.07
"floors",0.07
"luggage",0.07
"make",0.07
"may",0.07
"wait",0.07
