"","great"
"place",0.21
"food",0.2
"bar",0.17
"best",0.17
"friendly",0.17
"atmosphere",0.16
"restaurant",0.16
"excellent",0.15
"fun",0.15
"good",0.15
"live",0.14
"menu",0.14
"offers",0.14
"variety",0.14
"views",0.14
"always",0.13
"delicious",0.13
"family",0.13
"full",0.13
"looking",0.13
"lunch",0.13
"pizza",0.13
"right",0.13
"selection",0.13
"amazing",0.12
"dining",0.12
"music",0.12
"'s",0.11
"american",0.11
"authentic",0.11
"breakfast",0.11
"cafe",0.11
"enjoy",0.11
"experience",0.11
"fantastic",0.11
"favorite",0.11
"free",0.11
"fresh",0.11
"italian",0.11
"just",0.11
"little",0.11
"make",0.11
"nice",0.11
"night",0.11
"offer",0.11
"serves",0.11
"street",0.11
"try",0.11
"wonderful",0.11
"beautiful",0.1
"beer",0.1
"coffee",0.1
"cream",0.1
"day",0.1
"dinner",0.1
"downtown",0.1
"drink",0.1
"everything",0.1
"find",0.1
"fine",0.1
"gourmet",0.1
"happy",0.1
"including",0.1
"kids",0.1
"large",0.1
"lounge",0.1
"many",0.1
"mexican",0.1
"open",0.1
"outdoor",0.1
"plenty",0.1
"popular",0.1
"prices",0.1
"pub",0.1
"quality",0.1
"sandwiches",0.1
"seafood",0.1
"something",0.1
"specials",0.1
"spot",0.1
"staff",0.1
"sure",0.1
"view",0.1
"well",0.1
"'re",0.09
"bars",0.09
"beers",0.09
"bit",0.09
"casual",0.09
"cheap",0.09
"check",0.09
"corner",0.09
"cuisine",0.09
"deal",0.09
"drinks",0.09
"every",0.09
"features",0.09
"feel",0.09
"get",0.09
"grab",0.09
"homemade",0.09
"huge",0.09
"ice",0.09
"lots",0.09
"makes",0.09
"nights",0.09
"offering",0.09
"parking",0.09
"patio",0.09
"perfect",0.09
"places",0.09
"pool",0.09
"really",0.09
"reasonable",0.09
"relaxed",0.09
"shopping",0.09
"sit",0.09
"sports",0.09
"style",0.09
"sushi",0.09
"unique",0.09
"upscale",0.09
"vegetarian",0.09
"want",0.09
"watch",0.09
"worth",0.09
"affordable",0.08
"also",0.08
"art",0.08
"awesome",0.08
"bands",0.08
"beach",0.08
"big",0.08
"boutique",0.08
"busy",0.08
"clothing",0.08
"come",0.08
"customers",0.08
"definitely",0.08
"different",0.08
"diner",0.08
"dishes",0.08
"easy",0.08
"eat",0.08
"end",0.08
"especially",0.08
"everyone",0.08
"fish",0.08
"friends",0.08
"go",0.08
"grill",0.08
"hostel",0.08
"like",0.08
"local",0.08
"locally",0.08
"locals",0.08
"location",0.08
"lot",0.08
"lovely",0.08
"meal",0.08
"ocean",0.08
"often",0.08
"owned",0.08
"party",0.08
"past",0.08
"priced",0.08
"range",0.08
"relaxing",0.08
"salads",0.08
"see",0.08
"serving",0.08
"shop",0.08
"shops",0.08
"spend",0.08
"store",0.08
"stores",0.08
"summer",0.08
"surf",0.08
"tasty",0.08
"top",0.08
"value",0.08
"walking",0.08
"wide",0.08
"wine",0.08
"'ll",0.07
"across",0.07
"back",0.07
"behind",0.07
"bistro",0.07
"burgers",0.07
"chef",0.07
"choice",0.07
"classic",0.07
"crowd",0.07
"deli",0.07
"drive",0.07
"even",0.07
"events",0.07
"expensive",0.07
"friday",0.07
"front",0.07
"heart",0.07
"home",0.07
"hot",0.07
"house",0.07
"indoor",0.07
"kitchen",0.07
"located",0.07
"look",0.07
"luxury",0.07
"mall",0.07
"meet",0.07
"minute",0.07
"movie",0.07
"new",0.07
"organic",0.07
"outside",0.07
"pick",0.07
"playing",0.07
"private",0.07
"quaint",0.07
"quick",0.07
"quiet",0.07
"real",0.07
"romantic",0.07
"room",0.07
"run",0.07
"seating",0.07
"stay",0.07
"steaks",0.07
"things",0.07
"throughout",0.07
"tours",0.07
