"","negotiate"
"driver",0.24
"drivers",0.19
"price",0.18
"pay",0.15
"ask",0.14
"taxi",0.14
"money",0.12
"taxis",0.12
"insist",0.11
"prices",0.11
"touts",0.11
"able",0.1
"avoid",0.1
"cost",0.1
"expensive",0.1
"fare",0.1
"tell",0.1
"try",0.1
"will",0.1
"buses",0.09
"cheaper",0.09
"commission",0.09
"expect",0.09
"foreigners",0.09
"fruits",0.09
"hesitate",0.09
"know",0.09
"may",0.09
"metered",0.09
"paying",0.09
"rate",0.09
"sure",0.09
"agree",0.08
"charge",0.08
"cheap",0.08
"cheapest",0.08
"costs",0.08
"depending",0.08
"fixed",0.08
"foreign",0.08
"go",0.08
"make",0.08
"passport",0.08
"police",0.08
"rickshaw",0.08
"sometimes",0.08
"speak",0.08
"usually",0.08
"want",0.08
"always",0.07
"arrange",0.07
"bargain",0.07
"better",0.07
"careful",0.07
"charges",0.07
"deal",0.07
"drinks",0.07
"embassy",0.07
"even",0.07
"exchange",0.07
"get",0.07
"getting",0.07
"leave",0.07
"letters",0.07
"license",0.07
"motorbike",0.07
"need",0.07
"often",0.07
"paid",0.07
"reasonable",0.07
"security",0.07
"sell",0.07
"someone",0.07
"terminal",0.07
"thumb",0.07
"trying",0.07
"visa",0.07
"wear",0.07
