"","performing"
"arts",0.35
"visual",0.2
"symphony",0.14
"campus",0.13
"college",0.13
"downtown",0.12
"orchestra",0.12
"center",0.11
"theater",0.11
"acts",0.1
"theatre",0.1
"university",0.1
"venues",0.1
"art",0.09
"ave",0.09
"center'''",0.09
"features",0.09
"students",0.09
"york",0.09
"american",0.08
"convention",0.08
"deli",0.08
"home",0.08
"league",0.08
"memorial",0.08
"music",0.08
"non-profit",0.08
"programs",0.08
"shows",0.08
"street",0.08
"amateur",0.07
"children's",0.07
"concerts",0.07
"east-west",0.07
"event",0.07
"events",0.07
"featuring",0.07
"finest",0.07
"hosts",0.07
"inn",0.07
"live",0.07
"marriott",0.07
"plays",0.07
"rd",0.07
"st",0.07
"teams",0.07
"united",0.07
