"","mining"
"mine",0.36
"coal",0.26
"gold",0.23
"mines",0.22
"ore",0.17
"copper",0.15
"ghost",0.14
"silver",0.09
"abandoned",0.08
"iron",0.08
"richest",0.08
"diamond",0.07
"industry",0.07
"rush",0.07
"town",0.07
