"","cocktails"
"bar",0.14
"cocktail",0.12
"drinks",0.12
"happy",0.11
"lounge",0.11
"night",0.11
"bars",0.1
"beer",0.1
"free",0.1
"friendly",0.1
"menu",0.1
"music",0.1
"prices",0.1
"cheap",0.09
"cheaper",0.09
"dance",0.09
"dishes",0.09
"floor",0.09
"floors",0.09
"food",0.09
"fresh",0.09
"offer",0.09
"pool",0.09
"staff",0.09
"tasty",0.09
"atmosphere",0.08
"bit",0.08
"decor",0.08
"delicious",0.08
"djs",0.08
"expensive",0.08
"fake",0.08
"front",0.08
"lit",0.08
"live",0.08
"party",0.08
"pay",0.08
"price",0.08
"relaxed",0.08
"restaurant",0.08
"rum",0.08
"selection",0.08
"serves",0.08
"table",0.08
"try",0.08
"watch",0.08
"budget",0.07
"buffet",0.07
"carte",0.07
"dessert",0.07
"drink",0.07
"expect",0.07
"good",0.07
"italian",0.07
"nice",0.07
"nights",0.07
"rooftop",0.07
"room",0.07
