"","locals"
"ask",0.2
"even",0.16
"usually",0.16
"will",0.16
"find",0.15
"know",0.15
"often",0.15
"tourists",0.15
"always",0.14
"drivers",0.14
"expect",0.14
"friendly",0.14
"local",0.14
"try",0.14
"common",0.13
"expensive",0.13
"make",0.13
"may",0.13
"might",0.13
"sure",0.13
"want",0.13
"avoid",0.12
"bars",0.12
"cheap",0.12
"drink",0.12
"especially",0.12
"generally",0.12
"get",0.12
"give",0.12
"like",0.12
"money",0.12
"much",0.12
"night",0.12
"pay",0.12
"popular",0.12
"prices",0.12
"quite",0.12
"safe",0.12
"sometimes",0.12
"speak",0.12
"'s",0.11
"although",0.11
"best",0.11
"driver",0.11
"english",0.11
"extremely",0.11
"happy",0.11
"hard",0.11
"keep",0.11
"price",0.11
"say",0.11
"without",0.11
"'re",0.1
"almost",0.1
"aware",0.1
"beer",0.1
"bit",0.1
"bring",0.1
"buy",0.1
"call",0.1
"careful",0.1
"charge",0.1
"cheaper",0.1
"check",0.1
"cost",0.1
"depending",0.1
"drunk",0.1
"expats",0.1
"food",0.1
"foreign",0.1
"foreigners",0.1
"fresh",0.1
"go",0.1
"good",0.1
"help",0.1
"imported",0.1
"language",0.1
"likely",0.1
"look",0.1
"many",0.1
"meet",0.1
"mostly",0.1
"need",0.1
"offer",0.1
"people",0.1
"probably",0.1
"sell",0.1
"staff",0.1
"still",0.1
"tell",0.1
"tend",0.1
"time",0.1
"use",0.1
"'ll",0.09
"able",0.09
"accept",0.09
"another",0.09
"asking",0.09
"back",0.09
"better",0.09
"cards",0.09
"catch",0.09
"cheapest",0.09
"drinking",0.09
"drinks",0.09
"end",0.09
"experience",0.09
"extra",0.09
"far",0.09
"getting",0.09
"hotels",0.09
"least",0.09
"less",0.09
"let",0.09
"little",0.09
"must",0.09
"note",0.09
"option",0.09
"pick",0.09
"place",0.09
"police",0.09
"quality",0.09
"really",0.09
"remember",0.09
"see",0.09
"slightly",0.09
"something",0.09
"take",0.09
"taxi",0.09
"taxis",0.09
"though",0.09
"trying",0.09
"unless",0.09
"upstairs",0.09
"way",0.09
"alike",0.08
"among",0.08
"anything",0.08
"anywhere",0.08
"around",0.08
"behind",0.08
"budget",0.08
"buying",0.08
"can",0.08
"clean",0.08
"cold",0.08
"come",0.08
"companies",0.08
"consider",0.08
"couple",0.08
"crowd",0.08
"crowded",0.08
"currency",0.08
"difficult",0.08
"dish",0.08
"dishes",0.08
"eat",0.08
"eating",0.08
"enough",0.08
"exist",0.08
"fare",0.08
"feel",0.08
"found",0.08
"frequented",0.08
"great",0.08
"higher",0.08
"highly",0.08
"internet",0.08
"join",0.08
"just",0.08
"looking",0.08
"made",0.08
"makes",0.08
"mean",0.08
"means",0.08
"mind",0.08
"never",0.08
"nice",0.08
"order",0.08
"others",0.08
"outside",0.08
"party",0.08
"paying",0.08
"places",0.08
"plan",0.08
"prepared",0.08
"pretty",0.08
"rarely",0.08
"rate",0.08
"rather",0.08
"reasonable",0.08
"relatively",0.08
"ride",0.08
"seem",0.08
"serious",0.08
"serve",0.08
"side",0.08
"similar",0.08
"simply",0.08
"sold",0.08
"someone",0.08
"speaking",0.08
"spend",0.08
"spoken",0.08
"standard",0.08
"stay",0.08
"talk",0.08
"think",0.08
"trip",0.08
"tropical",0.08
"variety",0.08
"vendors",0.08
"visa",0.08
"wait",0.08
"watch",0.08
"wear",0.08
"well",0.08
"widely",0.08
"work",0.08
"worth",0.08
"young",0.08
"advisable",0.07
"areas",0.07
"atms",0.07
"away",0.07
"bar",0.07
"beers",0.07
"beware",0.07
"book",0.07
"called",0.07
"carry",0.07
"caution",0.07
"clubs",0.07
"compared",0.07
"countries",0.07
"day",0.07
"decent",0.07
"definitely",0.07
"delicious",0.07
"due",0.07
"everything",0.07
"fairly",0.07
"favorite",0.07
"fish",0.07
"fixed",0.07
"front",0.07
"fruit",0.07
"heavy",0.07
"hot",0.07
"idea",0.07
"instead",0.07
"items",0.07
"lack",0.07
"leave",0.07
"long",0.07
"meal",0.07
"meat",0.07
"nightlife",0.07
"ones",0.07
"opposite",0.07
"per",0.07
"rent",0.07
"return",0.07
"risk",0.07
"seafood",0.07
"selling",0.07
"shops",0.07
"sim",0.07
"sit",0.07
"stalls",0.07
"streets",0.07
"strong",0.07
"surprised",0.07
"tends",0.07
"valuables",0.07
"visitors",0.07
"water",0.07
