"","opposite"
"bus",0.11
"centre",0.11
"hotel",0.11
"next",0.11
"side",0.11
"friendly",0.1
"just",0.1
"market",0.1
"station",0.1
"walk",0.1
"bank",0.09
"behind",0.09
"building",0.09
"buses",0.09
"charge",0.09
"cost",0.09
"costs",0.09
"entrance",0.09
"food",0.09
"good",0.09
"guesthouse",0.09
"office",0.09
"rooms",0.09
"selling",0.09
"staff",0.09
"stalls",0.09
"ticket",0.09
"air-con",0.08
"around",0.08
"away",0.08
"better",0.08
"booking",0.08
"budget",0.08
"cheap",0.08
"cheaper",0.08
"choice",0.08
"clean",0.08
"double",0.08
"end",0.08
"expect",0.08
"expensive",0.08
"floor",0.08
"front",0.08
"journey",0.08
"left",0.08
"look",0.08
"min",0.08
"night",0.08
"price",0.08
"prices",0.08
"room",0.08
"run",0.08
"shops",0.08
"stand",0.08
"taxi",0.08
"thai",0.08
"tickets",0.08
"vegetarian",0.08
"worth",0.08
"ask",0.07
"corner",0.07
"go",0.07
"jalan",0.07
"little",0.07
"locals",0.07
"modern",0.07
"nice",0.07
"outside",0.07
"pay",0.07
"per",0.07
"quality",0.07
"quite",0.07
"railway",0.07
"right",0.07
"takes",0.07
