"","historical"
"society",0.21
"museum",0.16
"history",0.14
"cultural",0.13
"oldest",0.12
"building",0.1
"buildings",0.1
"built",0.1
"ancient",0.09
"center",0.09
"century",0.09
"heritage",0.09
"historic",0.09
"monuments",0.09
"old",0.09
"preserved",0.09
"art",0.08
"baroque",0.08
"cities",0.08
"era",0.08
"first",0.08
"important",0.08
"library",0.08
"original",0.08
"rich",0.08
"sites",0.08
"city",0.07
"displays",0.07
"events",0.07
"exhibits",0.07
"founded",0.07
"largest",0.07
"mausoleum",0.07
"today",0.07
"world",0.07
