"","shopping"
"mall",0.33
"stores",0.25
"malls",0.24
"center",0.18
"chain",0.18
"shops",0.18
"business",0.16
"retail",0.16
"centre",0.14
"clubs",0.14
"downtown",0.14
"food",0.14
"movie",0.14
"variety",0.14
"bars",0.13
"centers",0.13
"cinema",0.13
"free",0.13
"large",0.13
"music",0.13
"outlet",0.13
"plaza",0.13
"restaurant",0.13
"store",0.13
"street",0.13
"streets",0.13
"art",0.12
"bar",0.12
"club",0.12
"dining",0.12
"opened",0.12
"park",0.12
"pedestrian",0.12
"pub",0.12
"sports",0.12
"stadium",0.12
"theater",0.12
"upscale",0.12
"city's",0.11
"coffee",0.11
"court",0.11
"electronic",0.11
"including",0.11
"indoor",0.11
"italian",0.11
"located",0.11
"metro",0.11
"modern",0.11
"offers",0.11
"parking",0.11
"pizza",0.11
"play",0.11
"selection",0.11
"square",0.11
"style",0.11
"suburban",0.11
"theatre",0.11
"university",0.11
"anchored",0.1
"areas",0.1
"city",0.1
"clothing",0.1
"commercial",0.1
"cuisine",0.1
"department",0.1
"designer",0.1
"events",0.1
"fashion",0.1
"fast",0.1
"floor",0.1
"football",0.1
"hotel",0.1
"live",0.1
"major",0.1
"many",0.1
"night",0.1
"outlets",0.1
"premier",0.1
"public",0.1
"serves",0.1
"shop",0.1
"traffic",0.1
"urban",0.1
"well",0.1
"wide",0.1
"american",0.09
"asian",0.09
"authentic",0.09
"avenue",0.09
"blvd",0.09
"building",0.09
"center'''",0.09
"centres",0.09
"chains",0.09
"chinese",0.09
"cinemas",0.09
"complex",0.09
"corner",0.09
"every",0.09
"features",0.09
"find",0.09
"fitness",0.09
"floors",0.09
"great",0.09
"hall",0.09
"hosts",0.09
"lines",0.09
"locations",0.09
"market",0.09
"menu",0.09
"minutes",0.09
"new",0.09
"nightlife",0.09
"open",0.09
"place",0.09
"plenty",0.09
"popular",0.09
"pubs",0.09
"rd",0.09
"routes",0.09
"services",0.09
"serving",0.09
"shoppers",0.09
"station",0.09
"suburb",0.09
"suburbs",0.09
"suites",0.09
"sushi",0.09
"trendy",0.09
"venue",0.09
"within",0.09
"airport",0.08
"arcade",0.08
"area",0.08
"arts",0.08
"best",0.08
"biggest",0.08
"boulevard",0.08
"boutiques",0.08
"bowling",0.08
"brand",0.08
"buffet",0.08
"burger",0.08
"call",0.08
"card",0.08
"central",0.08
"cheap",0.08
"clothes",0.08
"companies",0.08
"concert",0.08
"convention",0.08
"exit",0.08
"fares",0.08
"friday",0.08
"fun",0.08
"garden",0.08
"high-end",0.08
"housing",0.08
"include",0.08
"includes",0.08
"industrial",0.08
"leisure",0.08
"looking",0.08
"lounge",0.08
"lunch",0.08
"marriott",0.08
"newest",0.08
"offer",0.08
"outdoor",0.08
"outside",0.08
"parks",0.08
"plays",0.08
"quality",0.08
"range",0.08
"recently",0.08
"retailers",0.08
"right",0.08
"saturday",0.08
"science",0.08
"screen",0.08
"seating",0.08
"service",0.08
"subway",0.08
"system",0.08
"theaters",0.08
"transit",0.08
"various",0.08
"venues",0.08
"zoo",0.08
"affordable",0.07
"amusement",0.07
"atmosphere",0.07
"ave",0.07
"beer",0.07
"boutique",0.07
"branch",0.07
"brands",0.07
"centre'''",0.07
"children's",0.07
"close",0.07
"contains",0.07
"dance",0.07
"different",0.07
"dishes",0.07
"dr",0.07
"excellent",0.07
"expensive",0.07
"express",0.07
"featuring",0.07
"fine",0.07
"found",0.07
"go",0.07
"good",0.07
"heart",0.07
"hilton",0.07
"inn",0.07
"inside",0.07
"japanese",0.07
"jazz",0.07
"lane",0.07
"lanes",0.07
"largest",0.07
"late",0.07
"league",0.07
"like",0.07
"line",0.07
"location",0.07
"markets",0.07
"municipal",0.07
"network",0.07
"next",0.07
"number",0.07
"prices",0.07
"renovated",0.07
"safe",0.07
"sandwiches",0.07
"second",0.07
"shows",0.07
"sporting",0.07
"stations",0.07
"student",0.07
"students",0.07
"su",0.07
"taxis",0.07
"theme",0.07
"use",0.07
