"","retail"
"shopping",0.16
"stores",0.13
"outlets",0.11
"chain",0.1
"mall",0.1
"retailers",0.1
"store",0.1
"business",0.09
"court",0.09
"downtown",0.09
"exit",0.09
"outlet",0.09
"businesses",0.08
"chains",0.08
"club",0.08
"dining",0.08
"events",0.08
"features",0.08
"indoor",0.08
"inn",0.08
"interstate",0.08
"leisure",0.08
"opened",0.08
"premier",0.08
"pubs",0.08
"sales",0.08
"street",0.08
"suburban",0.08
"areas",0.07
"ave",0.07
"borough",0.07
"designer",0.07
"health",0.07
"including",0.07
"lane",0.07
"malls",0.07
"new",0.07
"parks",0.07
