"","buy"
"ticket",0.25
"drink",0.2
"can",0.19
"get",0.19
"pay",0.18
"tickets",0.18
"eat",0.17
"go",0.17
"sell",0.17
"want",0.17
"ask",0.16
"find",0.16
"price",0.16
"try",0.16
"will",0.16
"cheaper",0.15
"cost",0.15
"money",0.15
"need",0.15
"prices",0.15
"buying",0.14
"card",0.14
"cheap",0.14
"driver",0.14
"expensive",0.14
"see",0.14
"sure",0.14
"always",0.13
"around",0.13
"avoid",0.13
"drivers",0.13
"food",0.13
"good",0.13
"leave",0.13
"like",0.13
"might",0.13
"better",0.12
"costs",0.12
"expect",0.12
"help",0.12
"look",0.12
"make",0.12
"may",0.12
"next",0.12
"people",0.12
"shops",0.12
"sleep",0.12
"sold",0.12
"taxi",0.12
"usually",0.12
"valid",0.12
"visit",0.12
"'re",0.11
"'s",0.11
"accept",0.11
"anything",0.11
"best",0.11
"different",0.11
"drinks",0.11
"especially",0.11
"foreign",0.11
"foreigners",0.11
"going",0.11
"hotels",0.11
"lot",0.11
"made",0.11
"night",0.11
"paying",0.11
"remember",0.11
"return",0.11
"selling",0.11
"sim",0.11
"sometimes",0.11
"souvenirs",0.11
"time",0.11
"trip",0.11
"use",0.11
"walk",0.11
"'ll",0.1
"able",0.1
"advance",0.1
"alcohol",0.1
"almost",0.1
"another",0.1
"asking",0.1
"beer",0.1
"bit",0.1
"bottle",0.1
"bought",0.1
"budget",0.1
"bus",0.1
"buses",0.1
"cards",0.1
"charge",0.1
"clothes",0.1
"come",0.1
"currency",0.1
"depending",0.1
"even",0.1
"exchange",0.1
"feel",0.1
"give",0.1
"idea",0.1
"internet",0.1
"keep",0.1
"know",0.1
"local",0.1
"locals",0.1
"machines",0.1
"market",0.1
"must",0.1
"note",0.1
"per",0.1
"place",0.1
"places",0.1
"police",0.1
"possible",0.1
"prepaid",0.1
"prepared",0.1
"probably",0.1
"really",0.1
"sit",0.1
"spend",0.1
"staff",0.1
"stay",0.1
"take",0.1
"taxis",0.1
"things",0.1
"tourists",0.1
"visa",0.1
"wait",0.1
"without",0.1
"also",0.09
"back",0.09
"bargaining",0.09
"bars",0.09
"big",0.09
"book",0.09
"booking",0.09
"bottled",0.09
"bottles",0.09
"called",0.09
"careful",0.09
"cash",0.09
"change",0.09
"cheapest",0.09
"check",0.09
"clean",0.09
"credit",0.09
"departure",0.09
"english",0.09
"extra",0.09
"friendly",0.09
"fruit",0.09
"generally",0.09
"hard",0.09
"inside",0.09
"items",0.09
"least",0.09
"leaves",0.09
"less",0.09
"little",0.09
"meat",0.09
"much",0.09
"nice",0.09
"normal",0.09
"nothing",0.09
"offer",0.09
"office",0.09
"often",0.09
"option",0.09
"order",0.09
"outside",0.09
"paid",0.09
"passport",0.09
"person",0.09
"pick",0.09
"quality",0.09
"quite",0.09
"rate",0.09
"ride",0.09
"room",0.09
"rooms",0.09
"safe",0.09
"seem",0.09
"slightly",0.09
"start",0.09
"stores",0.09
"tend",0.09
"think",0.09
"tipping",0.09
"touts",0.09
"understand",0.09
"vending",0.09
"vendors",0.09
"waiting",0.09
"way",0.09
"whole",0.09
"women",0.09
"work",0.09
"worth",0.09
"allowed",0.08
"already",0.08
"although",0.08
"arrange",0.08
"arrive",0.08
"atms",0.08
"available",0.08
"aware",0.08
"bags",0.08
"behind",0.08
"beware",0.08
"bring",0.08
"cafes",0.08
"carry",0.08
"case",0.08
"catch",0.08
"common",0.08
"consider",0.08
"crowded",0.08
"day",0.08
"dishes",0.08
"dollars",0.08
"double",0.08
"either",0.08
"embassy",0.08
"every",0.08
"everything",0.08
"except",0.08
"fare",0.08
"fares",0.08
"fee",0.08
"forget",0.08
"fresh",0.08
"front",0.08
"fruits",0.08
"getting",0.08
"illegal",0.08
"insist",0.08
"instead",0.08
"just",0.08
"kinds",0.08
"leaving",0.08
"let",0.08
"likely",0.08
"longer",0.08
"lots",0.08
"mobile",0.08
"offices",0.08
"one",0.08
"ones",0.08
"others",0.08
"plan",0.08
"plastic",0.08
"prepare",0.08
"products",0.08
"purchase",0.08
"rather",0.08
"rent",0.08
"say",0.08
"sellers",0.08
"shop",0.08
"someone",0.08
"speak",0.08
"stalls",0.08
"still",0.08
"sweet",0.08
"takes",0.08
"taking",0.08
"taste",0.08
"tell",0.08
"terminal",0.08
"though",0.08
"tourist",0.08
"travel",0.08
"unless",0.08
"visas",0.08
"watch",0.08
"wear",0.08
"acceptable",0.07
"accepted",0.07
"agree",0.07
"allow",0.07
"anywhere",0.07
"asked",0.07
"away",0.07
"bargain",0.07
"brands",0.07
"countries",0.07
"decent",0.07
"definitely",0.07
"difficult",0.07
"dish",0.07
"enter",0.07
"entrance",0.07
"european",0.07
"everywhere",0.07
"extremely",0.07
"floor",0.07
"found",0.07
"free",0.07
"guide",0.07
"hand",0.07
"helpful",0.07
"higher",0.07
"however",0.07
"issue",0.07
"luggage",0.07
"meal",0.07
"men",0.07
"mind",0.07
"near",0.07
"normally",0.07
"numbers",0.07
"official",0.07
"problem",0.07
"serve",0.07
"set",0.07
"shared",0.07
"simply",0.07
"single",0.07
"snacks",0.07
"something",0.07
"somewhere",0.07
"streets",0.07
"stuff",0.07
"trams",0.07
"trying",0.07
"young",0.07
