"","famous"
"temple",0.2
"known",0.15
"india",0.13
"japan's",0.13
"lord",0.13
"made",0.13
"temples",0.13
"also",0.12
"ancient",0.12
"beautiful",0.12
"called",0.12
"many",0.12
"sweet",0.12
"kms",0.11
"like",0.11
"one",0.11
"sweets",0.11
"world",0.11
"among",0.1
"capital",0.1
"cities",0.1
"connected",0.1
"district",0.1
"hindu",0.1
"important",0.1
"japan",0.1
"near",0.1
"taste",0.1
"temple'''",0.1
"visit",0.1
"believed",0.09
"holy",0.09
"place",0.09
"popular",0.09
"prefecture",0.09
"rice",0.09
"shiva",0.09
"tamil",0.09
"baba",0.08
"biggest",0.08
"birth",0.08
"city",0.08
"considered",0.08
"cultural",0.08
"delhi",0.08
"goddess",0.08
"home",0.08
"indian",0.08
"jr",0.08
"km",0.08
"largest",0.08
"oldest",0.08
"palace",0.08
"places",0.08
"raja",0.08
"rich",0.08
"shrines",0.08
"situated",0.08
"sri",0.08
"tourist",0.08
"almost",0.07
"century",0.07
"dish",0.07
"eaten",0.07
"especially",0.07
"festival",0.07
"find",0.07
"juice",0.07
"modern",0.07
"name",0.07
"people",0.07
"shinkansen",0.07
"silk",0.07
"stand",0.07
"try",0.07
