"","service"
"services",0.18
"shuttle",0.18
"operates",0.17
"provides",0.17
"available",0.16
"bus",0.15
"runs",0.15
"transit",0.15
"airport",0.14
"commuter",0.14
"downtown",0.14
"fares",0.14
"regular",0.14
"daily",0.13
"offers",0.13
"rail",0.13
"amtrak",0.12
"free",0.12
"limited",0.12
"new",0.12
"offer",0.12
"operate",0.12
"provide",0.12
"provided",0.12
"routes",0.12
"taxi",0.12
"air",0.11
"greyhound",0.11
"passenger",0.11
"rental",0.11
"scheduled",0.11
"united",0.11
"york",0.11
"avenue",0.1
"cars",0.1
"coach",0.1
"commercial",0.1
"congestion",0.1
"dining",0.1
"express",0.1
"food",0.1
"full",0.1
"kennedy",0.1
"major",0.1
"passengers",0.1
"public",0.1
"regional",0.1
"run",0.1
"served",0.1
"stops",0.1
"street",0.1
"via",0.1
"airlines",0.09
"american",0.09
"areas",0.09
"bar",0.09
"cabs",0.09
"call",0.09
"companies",0.09
"direct",0.09
"excellent",0.09
"fare",0.09
"ferry",0.09
"friendly",0.09
"generally",0.09
"hourly",0.09
"interstate",0.09
"liberty",0.09
"music",0.09
"non-stop",0.09
"parking",0.09
"selection",0.09
"serves",0.09
"station",0.09
"sydney",0.09
"terminal",0.09
"throughout",0.09
"tickets",0.09
"train",0.09
"variety",0.09
"advance",0.08
"airport'''",0.08
"always",0.08
"ave",0.08
"book",0.08
"campus",0.08
"car",0.08
"connecting",0.08
"convenient",0.08
"day",0.08
"freight",0.08
"friday",0.08
"including",0.08
"inn",0.08
"line",0.08
"lines",0.08
"live",0.08
"local",0.08
"locations",0.08
"mall",0.08
"menu",0.08
"night",0.08
"note",0.08
"often",0.08
"open",0.08
"operated",0.08
"restaurant",0.08
"serving",0.08
"shopping",0.08
"stations",0.08
"stores",0.08
"suites",0.08
"system",0.08
"times",0.08
"traffic",0.08
"travel",0.08
"twice",0.08
"university",0.08
"us",0.08
"use",0.08
"west",0.08
"access",0.07
"additional",0.07
"authority",0.07
"business",0.07
"canada",0.07
"check",0.07
"club",0.07
"college",0.07
"features",0.07
"frequent",0.07
"include",0.07
"lunch",0.07
"monday",0.07
"offering",0.07
"outdoor",0.07
"prices",0.07
"private",0.07
"quality",0.07
"room",0.07
"route",0.07
"rush",0.07
"saturday",0.07
"seasonal",0.07
"states",0.07
"weekday",0.07
"weekly",0.07
"within",0.07
