"","really"
"nice",0.17
"want",0.16
"'s",0.15
"find",0.15
"good",0.15
"get",0.14
"go",0.14
"even",0.13
"make",0.13
"try",0.13
"will",0.13
"'re",0.12
"always",0.12
"ask",0.12
"bit",0.12
"just",0.12
"like",0.12
"quite",0.12
"worth",0.12
"best",0.11
"better",0.11
"can",0.11
"cheap",0.11
"expect",0.11
"friendly",0.11
"little",0.11
"much",0.11
"need",0.11
"pay",0.11
"place",0.11
"prices",0.11
"something",0.11
"things",0.11
"unless",0.11
"avoid",0.1
"buy",0.1
"decent",0.1
"definitely",0.1
"expensive",0.1
"feel",0.1
"food",0.1
"give",0.1
"know",0.1
"look",0.1
"looking",0.1
"lot",0.1
"might",0.1
"night",0.1
"people",0.1
"places",0.1
"pretty",0.1
"probably",0.1
"see",0.1
"stay",0.1
"sure",0.1
"time",0.1
"usually",0.1
"'ll",0.09
"anywhere",0.09
"big",0.09
"cheaper",0.09
"come",0.09
"different",0.09
"getting",0.09
"going",0.09
"great",0.09
"hard",0.09
"least",0.09
"locals",0.09
"lots",0.09
"may",0.09
"money",0.09
"ones",0.09
"outside",0.09
"price",0.09
"right",0.09
"sell",0.09
"sometimes",0.09
"staff",0.09
"tend",0.09
"think",0.09
"without",0.09
"'ve",0.08
"almost",0.08
"around",0.08
"asking",0.08
"back",0.08
"bars",0.08
"behind",0.08
"check",0.08
"clean",0.08
"consider",0.08
"cost",0.08
"couple",0.08
"difficult",0.08
"drink",0.08
"drinks",0.08
"driver",0.08
"drivers",0.08
"eat",0.08
"else",0.08
"english",0.08
"especially",0.08
"every",0.08
"extremely",0.08
"far",0.08
"generally",0.08
"keep",0.08
"less",0.08
"likely",0.08
"maybe",0.08
"miss",0.08
"often",0.08
"option",0.08
"rather",0.08
"remember",0.08
"seem",0.08
"sit",0.08
"someone",0.08
"spend",0.08
"stuff",0.08
"take",0.08
"thing",0.08
"tourists",0.08
"walk",0.08
"way",0.08
"able",0.07
"another",0.07
"anything",0.07
"book",0.07
"buying",0.07
"choice",0.07
"everything",0.07
"experience",0.07
"foreigners",0.07
"gets",0.07
"helpful",0.07
"huge",0.07
"let",0.07
"mind",0.07
"mostly",0.07
"must",0.07
"never",0.07
"nothing",0.07
"one",0.07
"pick",0.07
"problem",0.07
"quality",0.07
"safe",0.07
"say",0.07
"start",0.07
"streets",0.07
"taxis",0.07
"tell",0.07
"visit",0.07
"whole",0.07
