"","end"
"walk",0.13
"beginning",0.11
"open",0.11
"parking",0.11
"along",0.1
"beach",0.1
"high",0.1
"right",0.1
"views",0.1
"back",0.09
"day",0.09
"excellent",0.09
"expensive",0.09
"good",0.09
"just",0.09
"large",0.09
"left",0.09
"locals",0.09
"long",0.09
"may",0.09
"next",0.09
"note",0.09
"often",0.09
"pay",0.09
"pier",0.09
"see",0.09
"side",0.09
"start",0.09
"turn",0.09
"walking",0.09
"across",0.08
"although",0.08
"avoid",0.08
"bar",0.08
"bars",0.08
"behind",0.08
"better",0.08
"bit",0.08
"building",0.08
"couple",0.08
"even",0.08
"far",0.08
"find",0.08
"food",0.08
"free",0.08
"front",0.08
"generally",0.08
"great",0.08
"keep",0.08
"look",0.08
"lunch",0.08
"make",0.08
"music",0.08
"northern",0.08
"opposite",0.08
"past",0.08
"per",0.08
"price",0.08
"prices",0.08
"range",0.08
"run",0.08
"sometimes",0.08
"southern",0.08
"street",0.08
"sure",0.08
"time",0.08
"will",0.08
"without",0.08
"always",0.07
"bay",0.07
"bike",0.07
"board",0.07
"charge",0.07
"especially",0.07
"first",0.07
"follow",0.07
"including",0.07
"last",0.07
"little",0.07
"live",0.07
"longer",0.07
"menu",0.07
"number",0.07
"outside",0.07
"path",0.07
"popular",0.07
"probably",0.07
"return",0.07
"selection",0.07
"short",0.07
"staff",0.07
"streets",0.07
"top",0.07
"traffic",0.07
"try",0.07
"view",0.07
"want",0.07
"waterfront",0.07
"way",0.07
