"","daily"
"flights",0.17
"service",0.13
"departures",0.12
"twice",0.12
"air",0.11
"flight",0.11
"hours",0.11
"open",0.11
"operates",0.11
"day",0.1
"free",0.1
"operate",0.1
"sep",0.1
"times",0.1
"tours",0.1
"weekly",0.1
"airlines",0.09
"buses",0.09
"departs",0.09
"services",0.09
"tickets",0.09
"airport",0.08
"arrives",0.08
"available",0.08
"bus",0.08
"closed",0.08
"depart",0.08
"departing",0.08
"departure",0.08
"except",0.08
"ferries",0.08
"ferry",0.08
"internet",0.08
"lunch",0.08
"may",0.08
"offers",0.08
"overnight",0.08
"passenger",0.08
"passengers",0.08
"terminal",0.08
"april",0.07
"arriving",0.07
"companies",0.07
"cost",0.07
"dinner",0.07
"flies",0.07
"hour",0.07
"leave",0.07
"leaves",0.07
"menu",0.07
"museum",0.07
"night",0.07
"office",0.07
"per",0.07
"prices",0.07
"room",0.07
"run",0.07
"sa",0.07
"ticket",0.07
