"","table"
"pool",0.14
"bar",0.12
"dishes",0.11
"kitchen",0.11
"menu",0.11
"free",0.1
"friendly",0.1
"massage",0.1
"restaurant",0.1
"selection",0.1
"beer",0.09
"cuisine",0.09
"dining",0.09
"food",0.09
"front",0.09
"internet",0.09
"room",0.09
"rooms",0.09
"staff",0.09
"better",0.08
"breakfast",0.08
"buffet",0.08
"cheap",0.08
"cocktails",0.08
"drinks",0.08
"floor",0.08
"fresh",0.08
"games",0.08
"live",0.08
"lounge",0.08
"lunch",0.08
"music",0.08
"offers",0.08
"often",0.08
"open",0.08
"price",0.08
"prices",0.08
"quality",0.08
"seating",0.08
"tend",0.08
"tv",0.08
"variety",0.08
"always",0.07
"atmosphere",0.07
"big",0.07
"bit",0.07
"block",0.07
"crowd",0.07
"dinner",0.07
"every",0.07
"extra",0.07
"good",0.07
"happy",0.07
"hot",0.07
"night",0.07
"order",0.07
"patio",0.07
"pay",0.07
"prepared",0.07
"serves",0.07
"wifi",0.07
