"","every"
"hour",0.19
"day",0.17
"minutes",0.16
"year",0.16
"buses",0.15
"music",0.14
"night",0.14
"saturday",0.14
"takes",0.14
"bus",0.13
"different",0.12
"festival",0.12
"free",0.12
"friday",0.12
"held",0.12
"month",0.12
"run",0.12
"sunday",0.12
"train",0.12
"trains",0.12
"almost",0.11
"around",0.11
"bars",0.11
"big",0.11
"costs",0.11
"fare",0.11
"find",0.11
"half",0.11
"hours",0.11
"leave",0.11
"open",0.11
"place",0.11
"price",0.11
"prices",0.11
"station",0.11
"ticket",0.11
"tickets",0.11
"time",0.11
"two",0.11
"usually",0.11
"always",0.1
"beer",0.1
"cost",0.1
"crowd",0.1
"even",0.1
"expensive",0.1
"food",0.1
"good",0.1
"live",0.1
"market",0.1
"morning",0.1
"often",0.1
"outside",0.1
"streets",0.1
"students",0.1
"thursday",0.1
"walk",0.1
"week",0.1
"well",0.1
"'s",0.09
"also",0.09
"art",0.09
"available",0.09
"bar",0.09
"best",0.09
"book",0.09
"called",0.09
"cheap",0.09
"close",0.09
"clubs",0.09
"days",0.09
"depart",0.09
"drink",0.09
"drinks",0.09
"evening",0.09
"front",0.09
"get",0.09
"go",0.09
"great",0.09
"last",0.09
"like",0.09
"local",0.09
"lot",0.09
"make",0.09
"many",0.09
"menu",0.09
"next",0.09
"note",0.09
"parking",0.09
"pay",0.09
"people",0.09
"per",0.09
"rather",0.09
"room",0.09
"see",0.09
"selection",0.09
"shopping",0.09
"special",0.09
"sure",0.09
"terminal",0.09
"throughout",0.09
"variety",0.09
"want",0.09
"wednesday",0.09
"weekend",0.09
"'re",0.08
"ask",0.08
"atmosphere",0.08
"biggest",0.08
"bit",0.08
"building",0.08
"buy",0.08
"can",0.08
"change",0.08
"charge",0.08
"cheaper",0.08
"club",0.08
"concerts",0.08
"corner",0.08
"crowded",0.08
"dance",0.08
"delicious",0.08
"depending",0.08
"direct",0.08
"drivers",0.08
"english",0.08
"especially",0.08
"event",0.08
"events",0.08
"except",0.08
"expect",0.08
"extra",0.08
"feel",0.08
"first",0.08
"fresh",0.08
"friendly",0.08
"generally",0.08
"hosts",0.08
"including",0.08
"jazz",0.08
"journey",0.08
"just",0.08
"keep",0.08
"late",0.08
"least",0.08
"leaves",0.08
"leaving",0.08
"little",0.08
"look",0.08
"machines",0.08
"may",0.08
"might",0.08
"miss",0.08
"modern",0.08
"nice",0.08
"nights",0.08
"number",0.08
"offer",0.08
"one",0.08
"party",0.08
"places",0.08
"playing",0.08
"popular",0.08
"quality",0.08
"quite",0.08
"really",0.08
"restaurant",0.08
"right",0.08
"runs",0.08
"selling",0.08
"services",0.08
"serving",0.08
"shops",0.08
"short",0.08
"show",0.08
"since",0.08
"single",0.08
"something",0.08
"staff",0.08
"start",0.08
"stores",0.08
"student",0.08
"summer",0.08
"take",0.08
"taste",0.08
"taxi",0.08
"times",0.08
"top",0.08
"traffic",0.08
"trip",0.08
"try",0.08
"tuesday",0.08
"wide",0.08
"will",0.08
"young",0.08
"bands",0.07
"better",0.07
"budget",0.07
"cheapest",0.07
"check",0.07
"coffee",0.07
"come",0.07
"companies",0.07
"cuisine",0.07
"enjoy",0.07
"entrance",0.07
"european",0.07
"everything",0.07
"fast",0.07
"festivals",0.07
"floor",0.07
"found",0.07
"frequent",0.07
"full",0.07
"hotel",0.07
"hourly",0.07
"huge",0.07
"inside",0.07
"large",0.07
"lots",0.07
"min",0.07
"monday",0.07
"mostly",0.07
"much",0.07
"order",0.07
"play",0.07
"public",0.07
"reasonable",0.07
"second",0.07
"sometimes",0.07
"style",0.07
"table",0.07
"three",0.07
"tourists",0.07
"twice",0.07
"university",0.07
"use",0.07
"valid",0.07
"vegetarian",0.07
"vendors",0.07
"whole",0.07
"without",0.07
"worth",0.07
"years",0.07
