"","corner"
"block",0.15
"blocks",0.13
"street",0.13
"restaurant",0.11
"bar",0.1
"coffee",0.1
"downtown",0.1
"free",0.1
"mall",0.1
"menu",0.1
"music",0.1
"plaza",0.1
"business",0.09
"cafe",0.09
"friendly",0.09
"great",0.09
"internet",0.09
"live",0.09
"pizza",0.09
"right",0.09
"room",0.09
"shop",0.09
"shopping",0.09
"square",0.09
"store",0.09
"su",0.09
"university",0.09
"wi-fi",0.09
"american",0.08
"art",0.08
"avenue",0.08
"beer",0.08
"building",0.08
"center",0.08
"classes",0.08
"dining",0.08
"double",0.08
"every",0.08
"floor",0.08
"food",0.08
"friday",0.08
"front",0.08
"garden",0.08
"lounge",0.08
"lunch",0.08
"next",0.08
"northwest",0.08
"outdoor",0.08
"park",0.08
"rd",0.08
"sa",0.08
"selection",0.08
"st",0.08
"staff",0.08
"streets",0.08
"style",0.08
"sushi",0.08
"authentic",0.07
"ave",0.07
"basketball",0.07
"behind",0.07
"breakfast",0.07
"calle",0.07
"central",0.07
"cheap",0.07
"cozy",0.07
"dishes",0.07
"features",0.07
"house",0.07
"just",0.07
"laundry",0.07
"library",0.07
"metro",0.07
"night",0.07
"opposite",0.07
"parking",0.07
"patio",0.07
"rooms",0.07
"saturday",0.07
"serves",0.07
"side",0.07
"tv",0.07
"vegetarian",0.07
