"","favorite"
"specials",0.12
"american",0.11
"bar",0.11
"dining",0.11
"downtown",0.11
"features",0.11
"great",0.11
"menu",0.11
"pizza",0.11
"sandwiches",0.11
"upscale",0.11
"variety",0.11
"avenue",0.1
"delicious",0.1
"dinner",0.1
"favorites",0.1
"featuring",0.1
"food",0.1
"full",0.1
"live",0.1
"lunch",0.1
"mexican",0.1
"offers",0.1
"signature",0.1
"ave",0.09
"campus",0.09
"casual",0.09
"college",0.09
"diner",0.09
"fine",0.09
"fun",0.09
"grill",0.09
"inn",0.09
"selection",0.09
"steak",0.09
"tacos",0.09
"best",0.08
"breakfast",0.08
"chicken",0.08
"classic",0.08
"coffee",0.08
"deli",0.08
"enjoy",0.08
"flavors",0.08
"fried",0.08
"gourmet",0.08
"grille",0.08
"happy",0.08
"homemade",0.08
"jewelry",0.08
"movie",0.08
"music",0.08
"outdoor",0.08
"patio",0.08
"perfect",0.08
"phone",0.08
"restaurant",0.08
"salads",0.08
"shop",0.08
"specialty",0.08
"store",0.08
"street",0.08
"suites",0.08
"tables",0.08
"unique",0.08
"vacation",0.08
"always",0.07
"art",0.07
"atmosphere",0.07
"authentic",0.07
"blvd",0.07
"cream",0.07
"cuisine",0.07
"dance",0.07
"dr",0.07
"family",0.07
"fresh",0.07
"grab",0.07
"home",0.07
"italian",0.07
"kids",0.07
"locals",0.07
"marriott",0.07
"open",0.07
"owned",0.07
"serves",0.07
"spot",0.07
"st",0.07
