"","city"
"cities",0.19
"city's",0.19
"capital",0.18
"center",0.16
"cathedral",0.13
"city'''",0.13
"airport",0.12
"industrial",0.12
"largest",0.12
"major",0.11
"train",0.11
"museum",0.1
"shopping",0.1
"university",0.1
"bus",0.09
"central",0.09
"downtown",0.09
"founded",0.09
"important",0.09
"mall",0.09
"mosque",0.09
"trains",0.09
"urban",0.09
"ancient",0.08
"da",0.08
"famous",0.08
"flights",0.08
"hall",0.08
"hotel",0.08
"moscow",0.08
"province",0.08
"regional",0.08
"russian",0.08
"second",0.08
"station",0.08
"biggest",0.07
"centro",0.07
"century",0.07
"cultural",0.07
"historical",0.07
"located",0.07
"medieval",0.07
"turkish",0.07
