"","church"
"catholic",0.26
"built",0.23
"century",0.22
"gothic",0.22
"orthodox",0.21
"parish",0.21
"baroque",0.2
"medieval",0.19
"chapel",0.18
"churches",0.17
"monastery",0.16
"tower",0.16
"altar",0.15
"lady",0.15
"baptist",0.14
"castle",0.14
"cathedral",0.14
"oldest",0.14
"rebuilt",0.14
"wooden",0.14
"building",0.13
"nicholas",0.13
"old",0.13
"roman",0.13
"saint",0.13
"christ",0.12
"former",0.12
"hall",0.12
"holy",0.12
"mary",0.12
"museum",0.12
"trinity",0.12
"buildings",0.11
"centre",0.11
"church'''",0.11
"convent",0.11
"dates",0.11
"protestant",0.11
"romanesque",0.11
"saints",0.11
"square",0.11
"walls",0.11
"bell",0.1
"christian",0.1
"destroyed",0.1
"exhibition",0.1
"fortress",0.1
"founded",0.1
"hungarian",0.1
"michael",0.1
"paintings",0.1
"town",0.1
"virgin",0.1
"architect",0.09
"basilica",0.09
"bishop",0.09
"cemetery",0.09
"frescoes",0.09
"house",0.09
"houses",0.09
"mary's",0.09
"monument",0.09
"monuments",0.09
"peter",0.09
"revival",0.09
"statue",0.09
"stone",0.09
"burned",0.08
"dating",0.08
"dedicated",0.08
"erected",0.08
"facade",0.08
"fortified",0.08
"history",0.08
"jesus",0.08
"john",0.08
"manor",0.08
"patron",0.08
"preserved",0.08
"religious",0.08
"stood",0.08
"synagogue",0.08
"collection",0.07
"decorated",0.07
"german",0.07
"jewish",0.07
"mother",0.07
"now",0.07
"painting",0.07
"present",0.07
"railway",0.07
"ruins",0.07
"soviet",0.07
