"","outdoor"
"indoor",0.31
"seating",0.19
"dining",0.18
"fitness",0.16
"free",0.16
"pool",0.16
"activities",0.15
"features",0.15
"heated",0.15
"patio",0.15
"bar",0.14
"breakfast",0.14
"featuring",0.14
"inn",0.14
"offers",0.14
"open",0.14
"restaurant",0.14
"sports",0.14
"suites",0.14
"downtown",0.13
"live",0.13
"menu",0.13
"tennis",0.13
"ave",0.12
"lunch",0.12
"music",0.12
"recreation",0.12
"variety",0.12
"american",0.11
"casual",0.11
"dinner",0.11
"events",0.11
"fun",0.11
"golf",0.11
"hot",0.11
"park",0.11
"phone",0.11
"playground",0.11
"seasonal",0.11
"selection",0.11
"swimming",0.11
"trails",0.11
"wireless",0.11
"arts",0.1
"basketball",0.1
"biking",0.1
"blvd",0.1
"dr",0.1
"family",0.1
"full",0.1
"great",0.1
"grill",0.1
"guests",0.1
"hiking",0.1
"homemade",0.1
"ice",0.1
"include",0.1
"including",0.1
"italian",0.1
"jacuzzi",0.1
"mall",0.1
"offer",0.1
"parking",0.1
"sandwiches",0.1
"street",0.1
"summer",0.1
"upscale",0.1
"acres",0.09
"art",0.09
"avenue",0.09
"bike",0.09
"bistro",0.09
"business",0.09
"center",0.09
"classic",0.09
"club",0.09
"course",0.09
"cuisine",0.09
"deck",0.09
"exercise",0.09
"fine",0.09
"fresh",0.09
"gourmet",0.09
"historic",0.09
"lounge",0.09
"meeting",0.09
"room",0.09
"saturday",0.09
"serves",0.09
"shop",0.09
"ski",0.09
"specials",0.09
"spring",0.09
"st",0.09
"store",0.09
"sushi",0.09
"trail",0.09
"whirlpool",0.09
"winter",0.09
"-room",0.08
"-site",0.08
"amenities",0.08
"area",0.08
"artists",0.08
"atmosphere",0.08
"baked",0.08
"bath",0.08
"bbq",0.08
"bed",0.08
"brunch",0.08
"buffet",0.08
"cafe",0.08
"children",0.08
"children's",0.08
"clothing",0.08
"coffee",0.08
"concerts",0.08
"conference",0.08
"convention",0.08
"corner",0.08
"cream",0.08
"drive",0.08
"enjoy",0.08
"event",0.08
"excellent",0.08
"favorite",0.08
"feature",0.08
"food",0.08
"friday",0.08
"gallery",0.08
"games",0.08
"gift",0.08
"high-speed",0.08
"home",0.08
"house",0.08
"includes",0.08
"kids",0.08
"located",0.08
"miles",0.08
"motel",0.08
"mountain",0.08
"offering",0.08
"parks",0.08
"perfect",0.08
"picnic",0.08
"pizza",0.08
"play",0.08
"pub",0.08
"public",0.08
"rd",0.08
"rentals",0.08
"salads",0.08
"shopping",0.08
"skate",0.08
"spacious",0.08
"sporting",0.08
"steak",0.08
"stores",0.08
"su",0.08
"theater",0.08
"theatre",0.08
"united",0.08
"university",0.08
"weekend",0.08
"wide",0.08
"wine",0.08
"access",0.07
"banquet",0.07
"baseball",0.07
"baths",0.07
"beer",0.07
"boulevard",0.07
"concert",0.07
"creek",0.07
"diner",0.07
"equipment",0.07
"equipped",0.07
"exit",0.07
"friendly",0.07
"frozen",0.07
"hwy",0.07
"jazz",0.07
"kitchen",0.07
"lake",0.07
"large",0.07
"movie",0.07
"north",0.07
"owned",0.07
"popular",0.07
"private",0.07
"range",0.07
"service",0.07
"skating",0.07
"spa",0.07
"specialty",0.07
"sunday",0.07
"tables",0.07
"throughout",0.07
"unique",0.07
"vintage",0.07
"visitors",0.07
"weekends",0.07
